ID,ADDITIONAL_DESCRIPTION
40942,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>F872 D/R RED, 18 RATIO, QUILL INPUT, BASE MOUNT</td> </tr> <tr> <th>Ratio</th> <td>18</td> </tr> <tr> <th>Input HP</th> <td>5</td> </tr> <tr> <th>Output Torque (LB-IN)</th> <td>3096</td> </tr> <tr> <th>Output RPM @1750</th> <td>97</td> </tr> <tr> <th>Bore Code</th> <td>B9</td> </tr> <tr> <th>Reduction</th> <td>Double</td> </tr> <tr> <th>Style</th> <td>Base Mounted</td> </tr> <tr> <th>Input Style</th> <td>Quill</td> </tr> <tr> <th>NEMA Mounting</th> <td>180TC/210C</td> </tr> <tr> <th>Overhung Load</th> <td>1275</td> </tr> <tr> <th>Oil Capacity</th> <td>2.6</td> </tr> <tr> <th>Weight</th> <td>99</td> </tr> </tbody> </table> "
47237,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>726 S/R RED. 5:1 RATIO, NO BASE, &#39;H&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>350</td> </tr> <tr> <th>Ratio</th> <td>5</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>H</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>900</td> </tr> </tbody> </table> "
47238,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>726 S/R RED. 5:1 RATIO, NO BASE, &#39;J&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>350</td> </tr> <tr> <th>Ratio</th> <td>5</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>J</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>900</td> </tr> </tbody> </table> "
47239,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>726 S/R RED. 10:1 RATIO, NO BASE, &#39;G&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>175</td> </tr> <tr> <th>Ratio</th> <td>10</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>G</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>1181</td> </tr> </tbody> </table> "
47240,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>726 S/R RED. 10:1 RATIO, NO BASE, &#39;H&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>175</td> </tr> <tr> <th>Ratio</th> <td>10</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>H</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>1181</td> </tr> </tbody> </table> "
47241,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>726 S/R RED. 10:1 RATIO, NO BASE, &#39;J&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>175</td> </tr> <tr> <th>Ratio</th> <td>10</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>J</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>1181</td> </tr> </tbody> </table> "
47242,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>726 S/R RED. 15:1 RATIO, NO BASE, &#39;G&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>116.7</td> </tr> <tr> <th>Ratio</th> <td>15</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>G</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>1150</td> </tr> </tbody> </table> "
47243,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>726 S/R RED. 15:1 RATIO, NO BASE, &#39;H&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>116.7</td> </tr> <tr> <th>Ratio</th> <td>15</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>H</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>1150</td> </tr> </tbody> </table> "
47244,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>726 S/R RED. 15:1 RATIO, NO BASE, &#39;J&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>116.7</td> </tr> <tr> <th>Ratio</th> <td>15</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>J</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>1150</td> </tr> </tbody> </table> "
47245,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>726 S/R RED. 20:1 RATIO, NO BASE, &#39;G&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>87.5</td> </tr> <tr> <th>Ratio</th> <td>20</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>G</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>1406</td> </tr> </tbody> </table>"
47246,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>726 S/R RED. 20:1 RATIO, NO BASE, &#39;H&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>87.5</td> </tr> <tr> <th>Ratio</th> <td>20</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>H</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>1406</td> </tr> </tbody> </table> "
47247,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>726 S/R RED. 20:1 RATIO, NO BASE, &#39;J&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>87.5</td> </tr> <tr> <th>Ratio</th> <td>20</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>J</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>1406</td> </tr> </tbody> </table> "
47248,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>726 S/R RED. 25:1 RATIO, NO BASE, &#39;G&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>70</td> </tr> <tr> <th>Ratio</th> <td>25</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>G</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>1419</td> </tr> </tbody> </table> "
47249,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>726 S/R RED. 25:1 RATIO, NO BASE, &#39;H&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>70</td> </tr> <tr> <th>Ratio</th> <td>25</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>H</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>1419</td> </tr> </tbody> </table> "
47250,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>726 S/R RED. 25:1 RATIO, NO BASE, &#39;J&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>70</td> </tr> <tr> <th>Ratio</th> <td>25</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>J</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>1419</td> </tr> </tbody> </table> "
47251,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>726 S/R RED. 30:1 RATIO, NO BASE, &#39;G&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>58.3</td> </tr> <tr> <th>Ratio</th> <td>30</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>G</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>1300</td> </tr> </tbody> </table> "
47252,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>726 S/R RED. 30:1 RATIO, NO BASE, &#39;H&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>58.3</td> </tr> <tr> <th>Ratio</th> <td>30</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>H</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>1300</td> </tr> </tbody> </table> "
47253,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>726 S/R RED. 30:1 RATIO, NO BASE, &#39;J&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>58.3</td> </tr> <tr> <th>Ratio</th> <td>30</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>J</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>1300</td> </tr> </tbody> </table> "
47254,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>726 S/R RED. 40:1 RATIO, NO BASE, &#39;G&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>43.8</td> </tr> <tr> <th>Ratio</th> <td>40</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>G</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>1375</td> </tr> </tbody> </table> "
47255,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>726 S/R RED. 40:1 RATIO, NO BASE, &#39;H&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>43.8</td> </tr> <tr> <th>Ratio</th> <td>40</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>H</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>1375</td> </tr> </tbody> </table> "
47256,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>726 S/R RED. 40:1 RATIO, NO BASE, &#39;J&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>43.8</td> </tr> <tr> <th>Ratio</th> <td>40</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>J</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>1375</td> </tr> </tbody> </table> "
47257,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>726 S/R RED. 50:1 RATIO, NO BASE, &#39;G&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>35</td> </tr> <tr> <th>Ratio</th> <td>50</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>G</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>1375</td> </tr> </tbody> </table> "
47258,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>726 S/R RED. 50:1 RATIO, NO BASE, &#39;H&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>35</td> </tr> <tr> <th>Ratio</th> <td>50</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>H</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>1375</td> </tr> </tbody> </table> "
47259,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>726 S/R RED. 50:1 RATIO, NO BASE, &#39;J&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>35</td> </tr> <tr> <th>Ratio</th> <td>50</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>J</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>1375</td> </tr> </tbody> </table> "
47260,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>726 S/R RED. 60:1 RATIO, NO BASE, &#39;G&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>29.2</td> </tr> <tr> <th>Ratio</th> <td>60</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>G</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>1300</td> </tr> </tbody> </table> "
47261,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>726 S/R RED. 60:1 RATIO, NO BASE, &#39;H&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>29.2</td> </tr> <tr> <th>Ratio</th> <td>60</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>H</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>1300</td> </tr> </tbody> </table> "
47262,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>726 S/R RED. 60:1 RATIO, NO BASE, &#39;J&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>29.2</td> </tr> <tr> <th>Ratio</th> <td>60</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>J</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>1300</td> </tr> </tbody> </table> "
47263,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>732 S/R RED. 10:1 RATIO, NO BASE, &#39;G&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>175</td> </tr> <tr> <th>Ratio</th> <td>10</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>G</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>1822</td> </tr> </tbody> </table> "
47264,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>732 S/R RED. 10:1 RATIO, NO BASE, &#39;H&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>175</td> </tr> <tr> <th>Ratio</th> <td>10</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>H</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>1822</td> </tr> </tbody> </table> "
47265,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>732 S/R RED. 10:1 RATIO, NO BASE, &#39;J&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>175</td> </tr> <tr> <th>Ratio</th> <td>10</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>J</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>1822</td> </tr> </tbody> </table> "
47266,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>732 S/R RED. 15:1 RATIO, NO BASE, &#39;G&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>116.7</td> </tr> <tr> <th>Ratio</th> <td>15</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>G</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>1688</td> </tr> </tbody> </table> "
47267,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>732 S/R RED. 15:1 RATIO, NO BASE, &#39;H&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>116.7</td> </tr> <tr> <th>Ratio</th> <td>15</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>H</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>1688</td> </tr> </tbody> </table> "
47268,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>732 S/R RED. 15:1 RATIO, NO BASE, &#39;J&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>116.7</td> </tr> <tr> <th>Ratio</th> <td>15</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>J</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>1688</td> </tr> </tbody> </table> "
47269,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>732 S/R RED. 20:1 RATIO, NO BASE, &#39;G&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>87.5</td> </tr> <tr> <th>Ratio</th> <td>20</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>G</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>2340</td> </tr> </tbody> </table> "
47270,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>732 S/R RED. 20:1 RATIO, NO BASE, &#39;H&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>87.5</td> </tr> <tr> <th>Ratio</th> <td>20</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>H</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>2340</td> </tr> </tbody> </table> "
47271,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>732 S/R RED. 20:1 RATIO, NO BASE, &#39;J&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>87.5</td> </tr> <tr> <th>Ratio</th> <td>20</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>J</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>2340</td> </tr> </tbody> </table> "
47274,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>732 S/R RED. 25:1 RATIO, NO BASE, &#39;J&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>70</td> </tr> <tr> <th>Ratio</th> <td>25</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>J</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>2321</td> </tr> </tbody> </table> "
47275,"<table class=""description-table""> <tbody> <tr> <th>Description</th> <td>732 S/R RED. 30:1 RATIO, NO BASE, &#39;G&#39; ASSY</td> </tr> <tr> <th>Reduction</th> <td>SINGLE</td> </tr> <tr> <th>Output Shaft</th> <td>PROJECTING O/P</td> </tr> <tr> <th>Base</th> <td>NO BASE</td> </tr> <tr> <th>Input Style</th> <td>NO FLANGE</td> </tr> <tr> <th>Fan Cooled Rating?</th> <td>NO</td> </tr> <tr> <th>Output RPM @1750</th> <td>58.3</td> </tr> <tr> <th>Ratio</th> <td>30</td> </tr> <tr> <th>Shaft Assembly Code</th> <td>G</td> </tr> <tr> <th>Torque Cap (LB-IN)</th> <td>2140</td> </tr> </tbody> </table> "
