id,additional_description,,,,,,,,,,,,,,,,
2972074,"<p>Don't let the name fool you, LiL Larry packs enough power to take its rightful place, as the newest addition to the Larry family. LiL Larry is equipped with a 250 lumen COB work light, featuring 3 light modes: high, low and emergency red flash. The anodized aluminum body and recessed LED housing ensures that LiL Larry is ready for any task. </p> <p> LIGHT <ul><li> High-power 250 Lumen COB LED Work Light</li> <li> High-power COB LED emergency red flasher</li></ul></p> <p> DESIGN <ul><li> Water and impact-resistant</li> <li> Ergonomic non-slip grip</li> <li> Protective LED housing</li> <li> Steel belt/pocket clip</li> <li> Powerful magnetic base</li></ul></p> <p> OPERATION <ul><li> Top-positioned, ON/OFF button</li></ul></p> <p> BATTERIES <ul><li> Powered by 3 AAA batteries (included)</li></ul></p> <p> SPECS <ul><li> (H) 6. 0625"" x (W) 0. 625"" x (D) 1""</li> <li> 0. 2 lbs. </li></ul></p>",,,,,,,,,,,,,,,,
2972073,"<p>Don't let the name fool you, LiL Larry packs enough power to take its rightful place, as the newest addition to the Larry family. LiL Larry is equipped with a 250 lumen COB work light, featuring 3 light modes: high, low and emergency red flash. The anodized aluminum body and recessed LED housing ensures that LiL Larry is ready for any task. </p> <p> LIGHT <ul><li> High-power 250 Lumen COB LED Work Light</li> <li> High-power COB LED emergency red flasher</li></ul></p> <p> DESIGN <ul><li> Water and impact-resistant</li> <li> Ergonomic non-slip grip</li> <li> Protective LED housing</li> <li> Steel belt/pocket clip</li> <li> Powerful magnetic base</li></ul></p> <p> OPERATION <ul><li> Top-positioned, ON/OFF button</li></ul></p> <p> BATTERIES <ul><li> Powered by 3 AAA batteries (included)</li></ul></p> <p> SPECS <ul><li> (H) 6. 0625"" x (W) 0. 625"" x (D) 1""</li> <li> 0. 2 lbs. </li></ul></p>",,,,,,,,,,,,,,,,
2972072,"<p>Don't let the name fool you, LiL Larry packs enough power to take its rightful place, as the newest addition to the Larry family. LiL Larry is equipped with a 250 lumen COB work light, featuring 3 light modes: high, low and emergency red flash. The anodized aluminum body and recessed LED housing ensures that LiL Larry is ready for any task. </p> <p> LIGHT <ul><li> High-power 250 Lumen COB LED Work Light</li> <li> High-power COB LED emergency red flasher</li></ul></p> <p> DESIGN <ul><li> Water and impact-resistant</li> <li> Ergonomic non-slip grip</li> <li> Protective LED housing</li> <li> Steel belt/pocket clip</li> <li> Powerful magnetic base</li></ul></p> <p> OPERATION <ul><li> Top-positioned, ON/OFF button</li></ul></p> <p> BATTERIES <ul><li> Powered by 3 AAA batteries (included)</li></ul></p> <p> SPECS <ul><li> (H) 6. 0625"" x (W) 0. 625"" x (D) 1""</li> <li> 0. 2 lbs. </li></ul></p>",,,,,,,,,,,,,,,,
2972078,"<p>Don't let the name fool you, LiL Larry packs enough power to take its rightful place, as the newest addition to the Larry family. LiL Larry is equipped with a 250 lumen COB work light, featuring 3 light modes: high, low and emergency red flash. The anodized aluminum body and recessed LED housing ensures that LiL Larry is ready for any task. </p> <p> LIGHT <ul><li> High-power 250 Lumen COB LED Work Light</li> <li> High-power COB LED emergency red flasher</li></ul></p> <p> DESIGN <ul><li> Water and impact-resistant</li> <li> Ergonomic non-slip grip</li> <li> Protective LED housing</li> <li> Steel belt/pocket clip</li> <li> Powerful magnetic base</li></ul></p> <p> OPERATION <ul><li> Top-positioned, ON/OFF button</li></ul></p> <p> BATTERIES <ul><li> Powered by 3 AAA batteries (included)</li></ul></p> <p> SPECS <ul><li> (H) 6. 0625"" x (W) 0. 625"" x (D) 1""</li> <li> 0. 2 lbs. </li></ul></p>",,,,,,,,,,,,,,,,
2972043,"<p>Don't let the name fool you, LiL Larry packs enough power to take its rightful place, as the newest addition to the Larry family. LiL Larry is equipped with a 250 lumen COB work light, featuring 3 light modes: high, low and emergency red flash. The anodized aluminum body and recessed LED housing ensures that LiL Larry is ready for any task. </p> <p> LIGHT <ul><li> High-power 250 Lumen COB LED Work Light</li> <li> High-power COB LED emergency red flasher</li></ul></p> <p> DESIGN <ul><li> Water and impact-resistant</li> <li> Ergonomic non-slip grip</li> <li> Protective LED housing</li> <li> Steel belt/pocket clip</li> <li> Powerful magnetic base</li></ul></p> <p> OPERATION <ul><li> Top-positioned, ON/OFF button</li></ul></p> <p> BATTERIES <ul><li> Powered by 3 AAA batteries (included)</li></ul></p> <p> SPECS <ul><li> (H) 6. 0625"" x (W) 0. 625"" x (D) 1""</li> <li> 0. 2 lbs. </li></ul></p>",,,,,,,,,,,,,,,,
1750205,"<p>From beginners to seasoned anglers, the Quarrow Trout Combo Outfit is all that you need for your next fishing excursion. </p> <p> ROD <ul><li> 8'6"" 5 piece 5 weight IM7 graphite fly rod</li> <li> Premium cork handle</li></ul></p> <p> REEL <ul><li> Diecast aluminum frame and spool</li> <li> Easily converts from right to left-hand retrieve</li> <li> Large arbor disc drag fly reel</li></ul></p> <p> LINE <ul><li> 50 yards backing</li> <li> Weight-forward fly line</li> <li> Tapered leader</li></ul></p>",,,,,,,,,,,,,,,,
2972045,"<p>Introducing the latest in ultimate versatile lighting the LUMORE. This brilliant clip light features a 25 lumen LED. Surrounding the LED is a dome, which doubles the features of the light output. The dome acts as a diffuser to create ambient light, while a small hole allows light to shine through for standard flashlight use. The LUMORE is available in 4 different dome color options: white, blue, red and green. The LUMORE is equipped with a flat base and a rotating clip to provide convenient hands-free lighting in two different ways. </p> <p> LIGHT <ul><li> High-power 25 lumen dome light</li></ul></p> <p> LIGHT MODES <ul><li> High: 25 Lumens - 1 hour / 9 meters</li> <li> Low: 10 Lumens - 3. 5 hours / 6 meters</li> <li> Strobe: 25 Lumens - 4. 5 hours / 9 meters</li></ul></p> <p> DESIGN <ul><li> Diffuser dome light</li> <li> Anodized aircraft-grade aluminum</li> <li> Water and impact-resistant</li> <li> Rotating carabiner clip</li></ul></p> <p> OPERATION <ul><li> Rear-positioned, glow-in-the-dark ON/OFF button</li></ul></p> <p> BATTERIES <ul><li> Powered by 3 LR44 batteries (included)</li></ul></p> <p> SPECS <ul><li> Size: (H) 3. 625"" x (W) 0. 75""</li> <li> 0. 2 lbs. </li></ul></p>",,,,,,,,,,,,,,,,
2972057,"<p>Introducing the latest in ultimate versatile lighting the LUMORE. This brilliant clip light features a 25 lumen LED. Surrounding the LED is a dome, which doubles the features of the light output. The dome acts as a diffuser to create ambient light, while a small hole allows light to shine through for standard flashlight use. The LUMORE is available in 4 different dome color options: white, blue, red and green. The LUMORE is equipped with a flat base and a rotating clip to provide convenient hands-free lighting in two different ways. </p> <p> LIGHT <ul><li> High-power 25 lumen dome light</li></ul></p> <p> LIGHT MODES <ul><li> High: 25 Lumens - 1 hour / 9 meters</li> <li> Low: 10 Lumens - 3. 5 hours / 6 meters</li> <li> Strobe: 25 Lumens - 4. 5 hours / 9 meters</li></ul></p> <p> DESIGN <ul><li> Diffuser dome light</li> <li> Anodized aircraft-grade aluminum</li> <li> Water and impact-resistant</li> <li> Rotating carabiner clip</li></ul></p> <p> OPERATION <ul><li> Rear-positioned, glow-in-the-dark ON/OFF button</li></ul></p> <p> BATTERIES <ul><li> Powered by 3 LR44 batteries (included)</li></ul></p> <p> SPECS <ul><li> Size: (H) 3. 625"" x (W) 0. 75""</li> <li> 0. 2 lbs. </li></ul></p>",,,,,,,,,,,,,,,,
2972056,"<p>Introducing the latest in ultimate versatile lighting the LUMORE. This brilliant clip light features a 25 lumen LED. Surrounding the LED is a dome, which doubles the features of the light output. The dome acts as a diffuser to create ambient light, while a small hole allows light to shine through for standard flashlight use. The LUMORE is available in 4 different dome color options: white, blue, red and green. The LUMORE is equipped with a flat base and a rotating clip to provide convenient hands-free lighting in two different ways. </p> <p> LIGHT <ul><li> High-power 25 lumen dome light</li></ul></p> <p> LIGHT MODES <ul><li> High: 25 Lumens - 1 hour / 9 meters</li> <li> Low: 10 Lumens - 3. 5 hours / 6 meters</li> <li> Strobe: 25 Lumens - 4. 5 hours / 9 meters</li></ul></p> <p> DESIGN <ul><li> Diffuser dome light</li> <li> Anodized aircraft-grade aluminum</li> <li> Water and impact-resistant</li> <li> Rotating carabiner clip</li></ul></p> <p> OPERATION <ul><li> Rear-positioned, glow-in-the-dark ON/OFF button</li></ul></p> <p> BATTERIES <ul><li> Powered by 3 LR44 batteries (included)</li></ul></p> <p> SPECS <ul><li> Size: (H) 3. 625"" x (W) 0. 75""</li> <li> 0. 2 lbs. </li></ul></p>",,,,,,,,,,,,,,,,
2972055,"<p>Introducing the latest in ultimate versatile lighting the LUMORE. This brilliant clip light features a 25 lumen LED. Surrounding the LED is a dome, which doubles the features of the light output. The dome acts as a diffuser to create ambient light, while a small hole allows light to shine through for standard flashlight use. The LUMORE is available in 4 different dome color options: white, blue, red and green. The LUMORE is equipped with a flat base and a rotating clip to provide convenient hands-free lighting in two different ways. </p> <p> LIGHT <ul><li> High-power 25 lumen dome light</li></ul></p> <p> LIGHT MODES <ul><li> High: 25 Lumens - 1 hour / 9 meters</li> <li> Low: 10 Lumens - 3. 5 hours / 6 meters</li> <li> Strobe: 25 Lumens - 4. 5 hours / 9 meters</li></ul></p> <p> DESIGN <ul><li> Diffuser dome light</li> <li> Anodized aircraft-grade aluminum</li> <li> Water and impact-resistant</li> <li> Rotating carabiner clip</li></ul></p> <p> OPERATION <ul><li> Rear-positioned, glow-in-the-dark ON/OFF button</li></ul></p> <p> BATTERIES <ul><li> Powered by 3 LR44 batteries (included)</li></ul></p> <p> SPECS <ul><li> Size: (H) 3. 625"" x (W) 0. 75""</li> <li> 0. 2 lbs. </li></ul></p>",,,,,,,,,,,,,,,,
2972054,"<p>Introducing the latest in ultimate versatile lighting the LUMORE. This brilliant clip light features a 25 lumen LED. Surrounding the LED is a dome, which doubles the features of the light output. The dome acts as a diffuser to create ambient light, while a small hole allows light to shine through for standard flashlight use. The LUMORE is available in 4 different dome color options: white, blue, red and green. The LUMORE is equipped with a flat base and a rotating clip to provide convenient hands-free lighting in two different ways. </p> <p> LIGHT <ul><li> High-power 25 lumen dome light</li></ul></p> <p> LIGHT MODES <ul><li> High: 25 Lumens - 1 hour / 9 meters</li> <li> Low: 10 Lumens - 3. 5 hours / 6 meters</li> <li> Strobe: 25 Lumens - 4. 5 hours / 9 meters</li></ul></p> <p> DESIGN <ul><li> Diffuser dome light</li> <li> Anodized aircraft-grade aluminum</li> <li> Water and impact-resistant</li> <li> Rotating carabiner clip</li></ul></p> <p> OPERATION <ul><li> Rear-positioned, glow-in-the-dark ON/OFF button</li></ul></p> <p> BATTERIES <ul><li> Powered by 3 LR44 batteries (included)</li></ul></p> <p> SPECS <ul><li> Size: (H) 3. 625"" x (W) 0. 75""</li> <li> 0. 2 lbs. </li></ul></p>",,,,,,,,,,,,,,,,
2972082,"<p>It's better than ever! We took our best-selling SLYDE Flashlight &amp; Work Light and improved it every way imaginable. The new SLYDE + is now equipped with programmable memory settings for each light mode, a new&nbsp;C<li>O&bull;B red light function, a 4x adjustable zoom and instant slide on. And best of all? With all these new great features, the new SLYDE+ is still the same price!</li></p><p>LIGHT<ul><li>High-power 300 lumen LED flashlight</li><li>High-power 200 lumen&nbsp;C&bull;O&bull;B LED work light</li></ul></p><p>4 LIGHT MODES<ul><li>Flashlight (300 lumens) - 3 hours / 135 meters</li><li>Work Light (200 lumens) - 3. 5 hours / 21 meters</li><li>Red (35 lumens) - 2 hours / 8 meters</li><li>Red Flash (35 lumens) - 9 hours</li></ul></p><p>DESIGN<ul><li>Convex lens</li><li>Tactical edge</li><li>4x adjustable zoom</li><li>Fully dimmable</li><li>Direct-to-Red Feature (hold button and slide open)</li><li>Memory Power Setting</li><li>Powerful magnetic base</li><li>Anodized aircraft-grade aluminum; weather-proof (IPX4) and impact-resistant</li></ul></p><p>OPERATION<ul><li>Side-positioned, ON/OFF button; hold to dim</li><li>C&bull;O&bull;B Work Light automatically turns ON when opened and OFF when closed</li></ul></p><p>BATTERIES<ul><li>Powered by 4 AAA batteries (included)</li></ul></p><p>SPECS<ul><li>0. 7 lbs.</li><li>Length: Compacted: 7. 25"" / Extended: 9. 5""</li><li>Diameter: (Head) 1. 625"" / (Barrel) 1. 375""</li></ul></p>",,,,,,,,,,,,,,,,
1750318,"<p>Let's admit it, everyone has that cheap-o plastic flashlight in the drawer that barely holds a candle to well, a candle. Here's to the new and more reliable solution for your flashlight drawer the NEBO ZOOM 130. </p> <p> LIGHT <ul><li> High-power 370 LUX LED</li></ul></p> <p> LIGHT MODE <ul><li> 370 LUX - 8 Hours / 80 Meters</li></ul></p> <p> DESIGN <ul><li> Water and impact-resistant</li> <li> 4x adjustable zoom</li></ul></p> <p> OPERATION <ul><li> Rear-positioned ON/OFF button</li></ul></p> <p> BATTERIES <ul><li> Powered by 3 AAA batteries (included)</li></ul></p> <p> ACCESSORIES <ul><li> Lanyard included</li></ul></p> <p> SPECS <ul><li> Length: 4. 75""</li> <li> Diameter: 1. 375"" (Head); 1"" (Barrel)</li> <li> 0. 2 lbs. </li></ul></p>",,,,,,,,,,,,,,,,
2972081,"<p>NEBO FlipIt is a 215 lumen C<li>O&bull;B LED that operates like a standard household light switch. No wires, no tools and no fuss! There are 3 ways to attached it: 2 hook and loop tabs, 2 magnets or 2 screw holes (for permanent mounting). Each package contains 2 Flipit portable LED lights.</li></p><p>LIGHT<ul><li>215 lumens - 3 hours / 21 meters</li></ul></p><p>DESIGN<ul><li>Water and impact-resistant plastic design</li><li>Powerful magnets and double-sided hook and loop tape for mounting</li></ul></p><p>BATTERIES<ul><li>&nbsp;Powered by 3 AAA batteries (included)</li></ul></p><p>SPECS<ul><li>Size: (L) 4. 5"" x (W) 3"" x (D) 0. 75""</li></ul></p>",,,,,,,,,,,,,,,,
2972030,"<p>Taking the EDGE series to the next level is the EDGE 200. The EDGE 200 features 200 lumens of powerful white light. Crowning the top of the EDGE is the aggressive self-defense face. Much like the EDGE 90 the aggressive bezel can be removed to have a less aggressive, smooth face. The aggressive lines and angles of the aircraft grade aluminum body allow for proper heat dispersion as well as ensuring a steady grip. The dual-direction belt clip works well in the pocket or on a hat to serve as a cap light. Controlling the 2 light modes is the glow-in-the-dark button located at the base of the flashlight.</p><p>LIGHT<ul><li>High-power 200 lumen LED</li></ul></p><p>LIGHT MODES<ul><li>On: 200 Lumens - 2 Hours / 92 Meters</li><li>Strobe: 200 Lumens - 4. 5 Hours / 92 Meters</li></ul></p><p>DESIGN<ul><li>Anodized aircraft-grade aluminum; water and impact-resistant</li><li>Removable tactical edge</li><li>Steel belt/pocket clip</li></ul></p><p>OPERATION<ul><li>Rear-positioned glow-in-the-dark ON/OFF button</li></ul></p><p>BATTERIES<ul><li>Powered by 1 AA battery (included)</li></ul></p><p>SPECS<ul><li>Length: 4. 5625""</li><li>Diameter: 0. 875""</li><li>0. 2 lbs.</li></ul></p>", to direct light exactly where you need it and the adjustable strap provides a sure fit for any size.</p> <p><strong>LIGHT</strong><br /> &bull, High-power 90 lumen LED<br /> &bull, 2 red LEDs</p> <p><strong>LIGHT MODES</strong><br /> &bull, White: 90 Lumens - 4 Hours / 100 Meters<br /> &bull, Red: 8 Lumens - 150 Hours / 3 Meters<br /> &bull, Red Flash: 8 Lumens - 120 Hours / 3 Meters</p> <p><strong>DESIGN</strong><br /> &bull, Reinforced plastic, water and impact-resistant<br /> &bull, Head tilts 90&ordm, to direct light where you need it<br /> &bull, Adjustable head strap</p> <p><strong>OPERATION</strong><br /> &bull, ON/OFF button</p> <p><strong>BATTERIES</strong><br /> &bull, Powered by 3 AAA batteries (included)</p> <p><strong>SPECS</strong><br /> &bull, Size: One size fits all, adjustable fit<br /> &bull, 0.225 lbs.</p>
1750264,"<p>The 250 PSI Air Compressor by NEBO Sports is a 12V portable air compressor that can inflate a standard size bicycle tire in less than a minute! While designed for bicycle tires, this Air Compressor has the power to use on your vehicle as well. This compact, portable Air Compressor is a perfect addition to your trunk for when those inconvenient, yet inevitable flat tires occur.</p><p>DESIGN<ul><li>250 PSI (Pounds per Square Inch)</li><li>Inflates standards size bicycle tires in less than a minute</li><li>12V DC plug</li><li>Easy-to-read PSI gauge</li><li>18"" Air Hose</li><li>10' Power Cord</li><li>Ergonomic thumb-lock lever</li></ul></p><p>SPECS<ul><li>Size: (H) 6. 5"" x (D) 3. 5"" x (W) 5. 25""</li><li>1. 94 lbs.</li></ul></p>",,,,,,,,,,,,,,,,
1750323,"<p>The 5 Red LED Bike Tail Light by NEBO is designed to provide maximum visibility and safety while you are riding. The bar mount secures to the bike with no tools needed and the light has a spring clip that clips onto the bar mount. The light has a quick release to easily detach from its mount to be worn as a protective running light as well. Because bikes aren't meant to stay on the trail this light is water and impact-resistant and can withstand impacts from up to 1 meter. </p> <p> LIGHT <ul><li> 5 high-power LEDs out 3. 5 lumens of red light</li></ul></p> <p> LIGHT MODES <ul><li> ON: 3. 5 Lumens - 55 Hours / 1. 6 KM</li> <li> Flash: 3. 5 Lumens - 120 Hours / 1. 6 KM</li> <li> Slow Flash: 3. 5 Lumens - 120 Hours / 1. 6 KM</li> <li> Cascading: 3. 5 Lumens - 120 Hours / 1. 6 KM</li> <li> Rising: 3. 5 Lumens - 120 Hours / 1. 6 KM</li> <li> Rapid Cascade: 3. 5 Lumens - 120 Hours / 1. 6 KM</li> <li> Random Flash: 3. 5 Lumens - 120 Hours / 1. 6 KM</li></ul></p> <p> MOUNT STYLE <ul><li> Bar mount; no tools required</li></ul></p> <p> DESIGN <ul><li> Water and impact-resistant</li> <li> Quick-release tab quickly detaches light</li> <li> Strong clip</li></ul></p> <p> OPERATION <ul><li> Rear-positioned ON/OFF button</li></ul></p> <p> BATTERIES <ul><li> 2 AAA batteries included for tail light</li></ul></p> <p> SPECS <ul><li> Size: (H) 2. 75"" x (D) 3. 5"" x (W) 1. 25""</li> <li> 0. 15 lbs. </li></ul></p>",,,,,,,,,,,,,,,,
1750244,"<p>The 6 LED Bike Light by NEBO offers 18 lumens of bright white light. &nbsp;The Bike Light has 2 lighting modes: 100% On and Strobe. The Bike Light has a convenient quick-release mount to turn the Bike Light into a flashlight. A lanyard wrist strap is also included to keep this light handy. The bike mount rotates a full 360&deg; to direct light wherever you need it. Constructed with impact plastic housing, this water and impact-resistant Bike Light is an essential add-on to your bicycle. &nbsp;This Bike Light is easy to install, no tools required. &nbsp; &nbsp; &nbsp; &nbsp;</p> <p> LIGHT <ul><li> 6 high-power LEDs output 18 lumens</li></ul></p> <p> LIGHT MODES <ul><li> ON: 18 Lumens - 15 Hours / 22 Meters</li> <li> Strobe: 18 Lumens - 28 Hours / 22 Meters</li></ul></p> <p> MOUNT STYLE <ul><li> Bar mount; no tools required</li></ul></p> <p> DESIGN <ul><li> Water and impact-resistant</li> <li> Quick-release tab quickly detaches light</li> <li> Mount allows light to swivel 180&ordm;&nbsp;</li> <li> Tail light features strong clip</li></ul></p> <p> OPERATION <ul><li> ON/OFF button</li></ul></p> <p> ACCESSORIES <ul><li> Lanyard included</li></ul></p> <p> BATTERIES <ul><li> 3 AAA batteries included</li></ul></p> <p> SPECS <ul><li> Size: (L) 3. 5"" x (D) 3"" x (W) 1. 25""</li> <li> 0. 25 lbs. </li></ul></p>",,,,,,,,,,,,,,,,
1750190,"<p>The BENDBRITE Hands-Free Flex-Light is a unique and innovative source of no-hassle lighting, perfect for any situation. The BENDBRITE is equipped with a magnetic clip base giving it the ability to attach to virtually any surface. BENDBRITE, bright light right where you need it!</p> <p> LIGHT <ul><li> 3 white LEDs</li> <li> 1 red LED</li></ul></p> <p> LIGHT MODES <ul><li> White: 9 Lumens - 7 Hours / 10 Meters</li> <li> Red: 0. 4 Lumens - 6. 5 Hours / 5 Meters</li></ul></p> <p> DESIGN <ul><li> BEND-RITE flex neck for omnidirectional lighting</li> <li> Reinforced plastic; water and impact-resistant</li> <li> Magnetic clip base</li></ul></p> <p> OPERATION <ul><li> ON/OFF button</li></ul></p> <p> BATTERIES <ul><li> Powered by 2 CR2032 batteries (included)</li></ul></p> <p> SPECS <ul><li> Height: 9. 5""</li> <li> 0. 237 lbs. </li></ul></p>",,,,,,,,,,,,,,,,
2972079,"<p>The BIG Larry knows how to light up a room! Equipped with new COB LED technology, the BIG Larry outputs 400 lumens of intense light. Secondary light modes include Low (160 lumens) and the Emergency Red Flash mode. This intense red light is perfect for distress signaling or roadside emergencies. The anodized aluminum body and recessed LED housing ensures that the BIG Larry can handle any situation.</p><p>LIGHT<ul><li>High-power 400 lumen COB LED work light</li><li>High-power COB LED emergency red flasher</li></ul></p><p>DESIGN<ul><li>Anodized aircraft-grade aluminum; water and impact-resistant</li><li>Powerful magnetic base</li></ul></p><p>OPERATION<ul><li>Top-positioned, ON/OFF button</li></ul></p><p>BATTERIES<ul><li>Powered by 3 AA batteries (included)</li></ul></p><p>SPECS<ul><li>Length: 7. 4375""</li><li>Diameter: Barrel - 0. 875"" / Head - 1. 125""</li><li>0. 45 lbs.</li></ul></p>",,,,,,,,,,,,,,,,
2972066,"<p>The BIG Larry knows how to light up a room! Equipped with new COB LED technology, the BIG Larry outputs 400 lumens of intense light. Secondary light modes include Low (160 lumens) and the Emergency Red Flash mode. This intense red light is perfect for distress signaling or roadside emergencies. The anodized aluminum body and recessed LED housing ensures that the BIG Larry can handle any situation.</p><p>LIGHT<ul><li>High-power 400 lumen COB LED work light</li><li>High-power COB LED emergency red flasher</li></ul></p><p>DESIGN<ul><li>Anodized aircraft-grade aluminum; water and impact-resistant</li><li>Powerful magnetic base</li></ul></p><p>OPERATION<ul><li>Top-positioned, ON/OFF button</li></ul></p><p>BATTERIES<ul><li>Powered by 3 AA batteries (included)</li></ul></p><p>SPECS<ul><li>Length: 7. 4375""</li><li>Diameter: Barrel - 0. 875"" / Head - 1. 125""</li><li>0. 45 lbs.</li></ul></p>",,,,,,,,,,,,,,,,
2972061,"<p>The BIG Larry knows how to light up a room! Equipped with new COB LED technology, the BIG Larry outputs 400 lumens of intense light. Secondary light modes include Low (160 lumens) and the Emergency Red Flash mode. This intense red light is perfect for distress signaling or roadside emergencies. The anodized aluminum body and recessed LED housing ensures that the BIG Larry can handle any situation.</p><p>LIGHT<ul><li>High-power 400 lumen COB LED work light</li><li>High-power COB LED emergency red flasher</li></ul></p><p>DESIGN<ul><li>Anodized aircraft-grade aluminum; water and impact-resistant</li><li>Powerful magnetic base</li></ul></p><p>OPERATION<ul><li>Top-positioned, ON/OFF button</li></ul></p><p>BATTERIES<ul><li>Powered by 3 AA batteries (included)</li></ul></p><p>SPECS<ul><li>Length: 7. 4375""</li><li>Diameter: Barrel - 0. 875"" / Head - 1. 125""</li><li>0. 45 lbs.</li></ul></p>",,,,,,,,,,,,,,,,
2972060,"<p>The BIG Larry knows how to light up a room! Equipped with new COB LED technology, the BIG Larry outputs 400 lumens of intense light. Secondary light modes include Low (160 lumens) and the Emergency Red Flash mode. This intense red light is perfect for distress signaling or roadside emergencies. The anodized aluminum body and recessed LED housing ensures that the BIG Larry can handle any situation.</p><p>LIGHT<ul><li>High-power 400 lumen COB LED work light</li><li>High-power COB LED emergency red flasher</li></ul></p><p>DESIGN<ul><li>Anodized aircraft-grade aluminum; water and impact-resistant</li><li>Powerful magnetic base</li></ul></p><p>OPERATION<ul><li>Top-positioned, ON/OFF button</li></ul></p><p>BATTERIES<ul><li>Powered by 3 AA batteries (included)</li></ul></p><p>SPECS<ul><li>Length: 7. 4375""</li><li>Diameter: Barrel - 0. 875"" / Head - 1. 125""</li><li>0. 45 lbs.</li></ul></p>",,,,,,,,,,,,,,,,
2972059,"<p>The BIG Larry knows how to light up a room! Equipped with new COB LED technology, the BIG Larry outputs 400 lumens of intense light. Secondary light modes include Low (160 lumens) and the Emergency Red Flash mode. This intense red light is perfect for distress signaling or roadside emergencies. The anodized aluminum body and recessed LED housing ensures that the BIG Larry can handle any situation.</p><p>LIGHT<ul><li>High-power 400 lumen COB LED work light</li><li>High-power COB LED emergency red flasher</li></ul></p><p>DESIGN<ul><li>Anodized aircraft-grade aluminum; water and impact-resistant</li><li>Powerful magnetic base</li></ul></p><p>OPERATION<ul><li>Top-positioned, ON/OFF button</li></ul></p><p>BATTERIES<ul><li>Powered by 3 AA batteries (included)</li></ul></p><p>SPECS<ul><li>Length: 7. 4375""</li><li>Diameter: Barrel - 0. 875"" / Head - 1. 125""</li><li>0. 45 lbs.</li></ul></p>",,,,,,,,,,,,,,,,
2972087,"<p>The BIG Larry Work Light Holster is specifically designed to fit the BIG Larry C<li>O&bull;B LED Work Light. &nbsp; This holster is designed for protection, durability and structural strength. &nbsp; The holster has a metal base insert allowing the BIG Larry to attach magnetically. The holster also features a front clip to ensure your work light isn&rsquo;t going anywhere. The BIG Larry Work Light Holster also features a clip on the back to keep your work light safely by your side&hellip;where you need it most.</li></p><p>DESIGN<ul><li>Metal base allows BIG Larry to attach magnetically</li><li>Front clips keep your work light in place</li><li>Belt/pocket clip</li></ul></p><p>SPECS<ul><li>Size: (H) 6"" x (W) 1. 1875"" x (D) 1. 375""</li><li>0. 05 lbs.</li></ul></p><p>WORKS WITH<ul><li>#6306, #6382, #6384, #6385, #6413 &amp; #6493 BIG Larry</li></ul></p>",,,,,,,,,,,,,,,,
1750324,"<p>The Bike Light Combo by NEBO is designed to provide maximum visibility and safety while you are riding. Each light features a bar mount that secures to the bike with no tools needed. Lights also have a quick release feature that allows the lights to be easily removed from the bar mount. &nbsp;</p> <p>NOTE: 5 LED Red Tail Light is also sold separately as #5952. </p> <p> LIGHT <ul><li> High-power 75 lumen LED</li> <li> 5 high-power LEDs out 3. 5 lumens of red light</li></ul></p> <p> LIGHT MODES <br /> Head Light<ul><li> High: 75 Lumens - 3 Hours / 65 Meters</li> <li> Low: 37. 5 Lumens - 4. 7 Hours / 32 Meters</li> <li> Strobe: 75 Lumens - 5. 3 Hours / 65 Meters</li> <li> S. O. S. : 75 Lumens - 3. 5 Hours / 65 Meters</li></ul></p> <p>Tail Light<ul><li> ON: 3. 5 Lumens - 55 Hours / 1. 6 KM</li> <li> Flash: 3. 5 Lumens - 120 Hours / 1. 6 KM</li> <li> Slow Flash: 3. 5 Lumens - 120 Hours / 1. 6 KM</li> <li> Cascading: 3. 5 Lumens - 120 Hours / 1. 6 KM</li> <li> Rising: 3. 5 Lumens - 120 Hours / 1. 6 KM</li> <li> Rapid Cascade: 3. 5 Lumens - 120 Hours / 1. 6 KM</li> <li> Random Flash: 3. 5 Lumens - 120 Hours / 1. 6 KM</li></ul></p> <p> MOUNT STYLE <ul><li> Bar mount; no tools required</li></ul></p> <p> DESIGN <ul><li> Water and impact-resistant</li> <li> Quick-release tab quickly detaches light</li> <li> Mount allows head light to swivel 180&ordm;</li> <li> Tail light features strong clip</li></ul></p> <p> OPERATION <ul><li> ON/OFF button</li></ul></p> <p> BATTERIES <ul><li> 3 AAA batteries included for head light</li> <li> 2 AAA batteries included for tail light</li></ul></p> <p> SPECS <ul><li> Head: (L) 3. 875"" x (H) 3"" x (W) 1. 25"" </li> <li> Tail: (H) 2. 75"" x (D) 3. 5"" x (W) 1. 25""</li> <li> Head Light: 0. 2 lbs. </li> <li> Tail Light: 0. 15 lbs. </li></ul></p>",,,,,,,,,,,,,,,,
