id,catalog_number,attributes
2852217,CSW-CK3RE45 WH,Front type: Knob | Actuation form: With return from left | Selector switches posittions: 3 | Selector switches angle: 45 � | Front color: Not contain | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: Without lettering
1309134,CSW-CK3RE45,Front type: Knob | Actuation form: With return from left | Selector switches posittions: 3 | Selector switches angle: 45 � | Front color: Not contain | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: Without lettering | Installation diameter: 22 mm | Degree of protection: IP66 | Weight: 0.02�Kg | �: �
2852216,CSW-CK3RD45 WH,Front type: Knob | Actuation form: With return from right | Selector switches posittions: 3 | Selector switches angle: 45 � | Front color: Not contain | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: Without lettering
2852206,CSW-CA2F45 WH,Front type: Lever | Actuation form: Fixed | Selector switches posittions: 2 | Selector switches angle: 45 � | Front color: Standard | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: Without lettering
1309119,CSW-CA2F45,Front type: Lever | Actuation form: Fixed | Selector switches posittions: 2 | Selector switches angle: 45 � | Front color: Standard | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: Without lettering | Installation diameter: 22 mm | Degree of protection: IP66 | Weight: 0.02�Kg | �: �
2852207,CSW-CA2F90 WH,Front type: Lever | Actuation form: Fixed | Selector switches posittions: 2 | Selector switches angle: 90 � | Front color: Standard | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: Without lettering
1309120,CSW-CA2F90,Front type: Lever | Actuation form: Fixed | Selector switches posittions: 2 | Selector switches angle: 90 � | Front color: Standard | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: Without lettering | Installation diameter: 22 mm | Degree of protection: IP66 | Weight: 0.02�Kg | �: �
2852208,CSW-CA3F45 WH,Front type: Lever | Actuation form: Fixed | Selector switches posittions: 3 | Selector switches angle: 45 � | Front color: Standard | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: Without lettering
1309123,CSW-CA3F45,Front type: Lever | Actuation form: Fixed | Selector switches posittions: 3 | Selector switches angle: 45 � | Front color: Standard | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: Without lettering | Installation diameter: 22 mm | Degree of protection: IP66 | Weight: 0.02�Kg | �: �
2852250,CSW-CA2R45 WH,Front type: Lever | Actuation form: With return | Selector switches posittions: 2 | Selector switches angle: 45 � | Front color: Standard | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: Without lettering
2852251,CSW-CA2R90 WH,Front type: Lever | Actuation form: With return | Selector switches posittions: 2 | Selector switches angle: 90 � | Front color: Standard | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: Without lettering
5900718,CSW-CA3R45U-WH,Front type: Lever | Actuation form: With return | Selector switches posittions: 3 | Selector switches angle: 45 � | Front color: Not contain | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: U
2852252,CSW-CA3R45 WH,Front type: Lever | Actuation form: With return | Selector switches posittions: 3 | Selector switches angle: 45 � | Front color: Standard | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: Without lettering
2852254,CSW-CA3RE45 WH,Front type: Lever | Actuation form: With return from left | Selector switches posittions: 3 | Selector switches angle: 45 � | Front color: Standard | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: Without lettering
1309126,CSW-CA3RE45,Front type: Lever | Actuation form: With return from left | Selector switches posittions: 3 | Selector switches angle: 45 � | Front color: Standard | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: Without lettering | Installation diameter: 22 mm | Degree of protection: IP66 | Weight: 0.02�Kg | �: �
2852253,CSW-CA3RD45 WH,Front type: Lever | Actuation form: With return from right | Selector switches posittions: 3 | Selector switches angle: 45 � | Front color: Not contain | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: Without lettering
2852159,CSW-BC2 WH,Front type: Mushroom | Actuation form: Pulsator | Front color: Green | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: Without lettering | Emergency button monitoring: Not contain
1308880,CSW-BC2,Front type: Mushroom | Actuation form: Pulsator | Front color: Green | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: Without lettering | Emergency button monitoring: Not contain | Installation diameter: 22 mm | Degree of protection: IP66 | Weight: 0.02�Kg
5740365,CSW-BC130 WH,Front type: Mushroom | Actuation form: Pulsator | Front color: Red | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: turns off (30)
1308879,CSW-BC130,Front type: Mushroom | Actuation form: Pulsator | Front color: Red | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: turns off (30) | Installation diameter: 22 mm | Degree of protection: IP66 | Weight: 0.02�Kg | �: �
2852158,CSW-BC1 WH,Front type: Mushroom | Actuation form: Pulsator | Front color: Red | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: Without lettering | Emergency button monitoring: Not contain
2852133,CSW-BGA5 WH,Front type: Recessed | Actuation form: Pulsator | Front color: Black | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: Without lettering | Emergency button monitoring: Not contain | Installation diameter: 22 mm | Degree of protection: IP66 | Weight: 0.02�Kg
2852132,CSW-BGA4 WH,Front type: Recessed | Actuation form: Pulsator | Front color: Blue | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: Without lettering | Emergency button monitoring: Not contain
1308908,CSW-BGA4,Front type: Recessed | Actuation form: Pulsator | Front color: Blue | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: Without lettering | Emergency button monitoring: Not contain | Installation diameter: 22 mm | Degree of protection: IP66 | Weight: 0.02�Kg
2852128,CSW-BGA0 WH,Front type: Recessed | Actuation form: Pulsator | Front color: Colorless/White | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: Without lettering | Emergency button monitoring: Not contain
1308904,CSW-BGA0,Front type: Recessed | Actuation form: Pulsator | Front color: Colorless/White | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: Without lettering | Emergency button monitoring: Not contain | Installation diameter: 22 mm | Degree of protection: IP66 | Weight: 0.02�Kg
2852130,CSW-BGA2 WH,Front type: Recessed | Actuation form: Pulsator | Front color: Green | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: Without lettering | Emergency button monitoring: Not contain
1308906,CSW-BGA2,Front type: Recessed | Actuation form: Pulsator | Front color: Green | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: Without lettering | Emergency button monitoring: Not contain | Installation diameter: 22 mm | Degree of protection: IP66 | Weight: 0.02�Kg
2852129,CSW-BGA1 WH,Front type: Recessed | Actuation form: Pulsator | Front color: Red | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: Without lettering | Emergency button monitoring: Not contain
1308905,CSW-BGA1,Front type: Recessed | Actuation form: Pulsator | Front color: Red | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: Without lettering | Emergency button monitoring: Not contain | Installation diameter: 22 mm | Degree of protection: IP66 | Weight: 0.02�Kg
2852131,CSW-BGA3 WH,Front type: Recessed | Actuation form: Pulsator | Front color: Yellow | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: Without lettering | Emergency button monitoring: Not contain
1308907,CSW-BGA3,Front type: Recessed | Actuation form: Pulsator | Front color: Yellow | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: Without lettering | Emergency button monitoring: Not contain | Installation diameter: 22 mm | Degree of protection: IP66 | Weight: 0.02�Kg
2852219,CSW2-BTS241IOR WH,Front type: Triple extended (IP66) | Actuation form: Pulsator | Front color: Green/Blue/Red | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: On/Off (I/O) | Central button function: RESET
2852218,CSW2-BTF241IOR WH,Front type: Triple flush (IP66) | Actuation form: Pulsator | Front color: Green/Blue/Red | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: On/Off (I/O) | Central button function: RESET
2852450,CSW-CY2F45 WH,Front type: With key | Actuation form: Fixed | Selector switches posittions: 2 | Selector switches angle: 45 � | Front color: Standard | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: Without lettering | Position key withdrawal: Standard
1309160,CSW-CY2F45,Front type: With key | Actuation form: Fixed | Selector switches posittions: 2 | Selector switches angle: 45 � | Front color: Standard | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: Without lettering | Position key withdrawal: Standard | Installation diameter: 22 mm | Degree of protection: IP66 | Weight: 0.04�Kg
5740417,CSW-CY2F90W WH,Front type: With key | Actuation form: Fixed | Selector switches posittions: 2 | Selector switches angle: 90 � | Front color: Standard | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: W | Position key withdrawal: Standard
5900725,CSW-CYD2F90-WH,Front type: With key | Actuation form: Fixed | Selector switches posittions: 2 | Selector switches angle: 90 � | Front color: Standard | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: Without lettering | Position key withdrawal: Right
2852451,CSW-CY2F90 WH,Front type: With key | Actuation form: Fixed | Selector switches posittions: 2 | Selector switches angle: 90 � | Front color: Standard | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: Without lettering | Position key withdrawal: Standard
5900724,CSW-CY3F45U-WH,Front type: With key | Actuation form: Fixed | Selector switches posittions: 3 | Selector switches angle: 45 � | Front color: Standard | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: U | Position key withdrawal: Standard
2852452,CSW-CY3F45 WH,Front type: With key | Actuation form: Fixed | Selector switches posittions: 3 | Selector switches angle: 45 � | Front color: Standard | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: Without lettering | Position key withdrawal: Standard
2852468,CSW-CY2R45 WH,Front type: With key | Actuation form: With return | Selector switches posittions: 2 | Selector switches angle: 45 � | Front color: Standard | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: Without lettering | Position key withdrawal: Standard
1309162,CSW-CY2R45,Front type: With key | Actuation form: With return | Selector switches posittions: 2 | Selector switches angle: 45 � | Front color: Standard | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: Without lettering | Position key withdrawal: Standard | Installation diameter: 22 mm | Degree of protection: IP66 | Weight: 0.04�Kg
2852469,CSW-CY2R90 WH,Front type: With key | Actuation form: With return | Selector switches posittions: 2 | Selector switches angle: 90 � | Front color: Standard | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: Without lettering | Position key withdrawal: Standard
2852470,CSW-CY3R45 WH,Front type: With key | Actuation form: With return | Selector switches posittions: 3 | Selector switches angle: 45 � | Front color: Standard | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: Without lettering | Position key withdrawal: Standard
2852472,CSW-CY3RE45 WH,Front type: With key | Actuation form: With return from left | Selector switches posittions: 3 | Selector switches angle: 45 � | Front color: Standard | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: Without lettering | Position key withdrawal: Standard
2852471,CSW-CY3RD45 WH,Front type: With key | Actuation form: With return from right | Selector switches posittions: 3 | Selector switches angle: 45 � | Front color: Standard | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: Without lettering | Position key withdrawal: Standard
1309165,CSW-CY3RD45,Front type: With key | Actuation form: With return from right | Selector switches posittions: 3 | Selector switches angle: 45 � | Front color: Standard | Actuation signaling: Not contain | Front coating: Uncoated | Specific function: Without lettering | Position key withdrawal: Standard | Installation diameter: 22 mm | Degree of protection: IP66 | Weight: 0.04�Kg
6377031,RMW17-FSF01D97,Function: Phase fault/sequence | Output contacts: 1 NO/NC | Timing: Not applicable | Function complement: Not applicable | Control voltage: 380-480V 50/60Hz | A1-A2 terminals voltage: Not applicable | A2-A3 terminals voltage: Not applicable
2852684,MSW 100 P-3,Fuse rated current: 100.0�A | Mounting type: For panel mounting | Number of poles: 3 poles | Accessories: Not contain
2852747,MSW 100 P-3 H,Fuse rated current: 100.0�A | Mounting type: For panel mounting | Number of poles: 3 poles | Accessories: With handle
2852840,MSW 125 B-3,Fuse rated current: 125.0�A | Mounting type: For base mounting | Number of poles: 3 poles | Accessories: Not contain
2852880,MSW 125 B-3 H,Fuse rated current: 125.0�A | Mounting type: For base mounting | Number of poles: 3 poles | Accessories: With handle
2852885,MSW 160 B-3,Fuse rated current: 160.0�A | Mounting type: For base mounting | Number of poles: 3 poles | Accessories: Not contain
2852919,MSW 160 B-3 H,Fuse rated current: 160.0�A | Mounting type: For base mounting | Number of poles: 3 poles | Accessories: With handle
2852400,MSW 25 B-3,Fuse rated current: 25.0�A | Mounting type: For base mounting | Number of poles: 3 poles | Accessories: Not contain
5901664,MSWB 25 B3 HB,Fuse rated current: 25.0�A | Mounting type: For base mounting | Number of poles: 3 poles | Accessories: With handle
5901663,MSWB 25 B3 H,Fuse rated current: 25.0�A | Mounting type: For base mounting | Number of poles: 3 poles | Accessories: With handle
2852562,MSW 25 B-3 H,Fuse rated current: 25.0�A | Mounting type: For base mounting | Number of poles: 3 poles | Accessories: With handle
2852401,MSW 25 P-3,Fuse rated current: 25.0�A | Mounting type: For panel mounting | Number of poles: 3 poles | Accessories: Not contain
2852545,MSW 25 P-3 H,Fuse rated current: 25.0�A | Mounting type: For panel mounting | Number of poles: 3 poles | Accessories: With handle
2852467,MSW 40 B-3,Fuse rated current: 40.0�A | Mounting type: For base mounting | Number of poles: 3 poles | Accessories: Not contain
5901666,MSWB 40 B3 HB,Fuse rated current: 40.0�A | Mounting type: For base mounting | Number of poles: 3 poles | Accessories: With handle
5901665,MSWB 40 B3 H,Fuse rated current: 40.0�A | Mounting type: For base mounting | Number of poles: 3 poles | Accessories: With handle
2852574,MSW 40 B-3 H,Fuse rated current: 40.0�A | Mounting type: For base mounting | Number of poles: 3 poles | Accessories: With handle
2852464,MSW 40 P-3,Fuse rated current: 40.0�A | Mounting type: For panel mounting | Number of poles: 3 poles | Accessories: Not contain
2852551,MSW 40 P-3 H,Fuse rated current: 40.0�A | Mounting type: For panel mounting | Number of poles: 3 poles | Accessories: With handle
2852635,MSW 63 B-3,Fuse rated current: 63.0�A | Mounting type: For base mounting | Number of poles: 3 poles | Accessories: Not contain
5901668,MSWB 63 B3 HB,Fuse rated current: 63.0�A | Mounting type: For base mounting | Number of poles: 3 poles | Accessories: With handle
5901667,MSWB 63 B3 H,Fuse rated current: 63.0�A | Mounting type: For base mounting | Number of poles: 3 poles | Accessories: With handle
2852681,MSW 63 B-3 H,Fuse rated current: 63.0�A | Mounting type: For base mounting | Number of poles: 3 poles | Accessories: With handle
2852634,MSW 63 P-3,Fuse rated current: 63.0�A | Mounting type: For panel mounting | Number of poles: 3 poles | Accessories: Not contain
2852663,MSW 63 P-3 H,Fuse rated current: 63.0�A | Mounting type: For panel mounting | Number of poles: 3 poles | Accessories: With handle
2852649,MSW 80 B-3,Fuse rated current: 80.0�A | Mounting type: For base mounting | Number of poles: 3 poles | Accessories: Not contain
5901670,MSWB 80 B3 HB,Fuse rated current: 80.0�A | Mounting type: For base mounting | Number of poles: 3 poles | Accessories: With handle
5901669,MSWB 80 B3 H,Fuse rated current: 80.0�A | Mounting type: For base mounting | Number of poles: 3 poles | Accessories: With handle
2852738,MSW 80 B-3 H,Fuse rated current: 80.0�A | Mounting type: For base mounting | Number of poles: 3 poles | Accessories: With handle
2852645,MSW 80 P-3,Fuse rated current: 80.0�A | Mounting type: For panel mounting | Number of poles: 3 poles | Accessories: Not contain
2852675,MSW 80 P-3 H,Fuse rated current: 80.0�A | Mounting type: For panel mounting | Number of poles: 3 poles | Accessories: With handle
5741234,MR DWB 250 430,Handle reference: MR | Application: DWB250 | Type: Rotary | Set type: Not applicable | Handle size: Not applicable | Shaft type: Standard | Shaft lenght: 430 mm | Degree of protection: IP02 | Color: Black
2523766,MRX DWB160 130,Handle reference: MRX | Application: DWB160 | Type: Rotary | Set type: Not applicable | Handle size: Not applicable | Shaft type: Standard | Shaft lenght: 130 mm | Degree of protection: NEMA TYPE 4X IP66 | Color: Black
2523767,MRX DWB160 130E,Handle reference: MRX | Application: DWB160 | Type: Rotary | Set type: Not applicable | Handle size: Not applicable | Shaft type: Standard | Shaft lenght: 130 mm | Degree of protection: NEMA TYPE 4X IP66 | Color: Red
2523768,MRX DWB160 430,Handle reference: MRX | Application: DWB160 | Type: Rotary | Set type: Not applicable | Handle size: Not applicable | Shaft type: Standard | Shaft lenght: 430 mm | Degree of protection: NEMA TYPE 4X IP66 | Color: Black
2523769,MRX DWB160 430E,Handle reference: MRX | Application: DWB160 | Type: Rotary | Set type: Not applicable | Handle size: Not applicable | Shaft type: Standard | Shaft lenght: 430 mm | Degree of protection: NEMA TYPE 4X IP66 | Color: Red
5902629,MRXL-A-DWB160-BU,Handle reference: MRX | Application: DWB160 3P/4P | Type: Rotary | Set type: Handle + Shaft + Mechanism | Handle size: Long Style | Shaft type: Standard | Shaft lenght: 450 mm | Degree of protection: NEMA TYPE 4X IP66 | Color: Blue
5902632,MRXL-A-DWB160-R,Handle reference: MRX | Application: DWB160 3P/4P | Type: Rotary | Set type: Handle + Shaft + Mechanism | Handle size: Long Style | Shaft type: Standard | Shaft lenght: 450 mm | Degree of protection: NEMA TYPE 4X IP66 | Color: Red/Yellow
5902914,MRXS-A-DWB160-BU,Handle reference: MRX | Application: DWB160 3P/4P | Type: Rotary | Set type: Handle + Shaft + Mechanism | Handle size: Short Style | Shaft type: Standard | Shaft lenght: 450 mm | Degree of protection: NEMA TYPE 4X IP66 | Color: Blue
5902916,MRXS-A-DWB160-R,Handle reference: MRX | Application: DWB160 3P/4P | Type: Rotary | Set type: Handle + Shaft + Mechanism | Handle size: Short Style | Shaft type: Standard | Shaft lenght: 450 mm | Degree of protection: NEMA TYPE 4X IP66 | Color: Red/Yellow
5902625,MRXL-B-4-BU,Handle reference: MRX | Application: DWB1600 Pystol | Type: Rotary | Set type: Handle + Shaft | Handle size: Long Style | Shaft type: Square 12.7X12.7 mm | Shaft lenght: 450 mm | Degree of protection: NEMA TYPE 4X IP66 | Color: Blue
5902628,MRXL-B-4-R,Handle reference: MRX | Application: DWB1600 Pystol | Type: Rotary | Set type: Handle + Shaft | Handle size: Long Style | Shaft type: Square 12.7X12.7 mm | Shaft lenght: 450 mm | Degree of protection: NEMA TYPE 4X IP66 | Color: Red/Yellow
5902630,MRXL-A-DWB250-BU,Handle reference: MRX | Application: DWB250 3P/4P | Type: Rotary | Set type: Handle + Shaft + Mechanism | Handle size: Long Style | Shaft type: Standard | Shaft lenght: 450 mm | Degree of protection: NEMA TYPE 4X IP66 | Color: Blue
5902633,MRXL-A-DWB250-R,Handle reference: MRX | Application: DWB250 3P/4P | Type: Rotary | Set type: Handle + Shaft + Mechanism | Handle size: Long Style | Shaft type: Standard | Shaft lenght: 450 mm | Degree of protection: NEMA TYPE 4X IP66 | Color: Red/Yellow
5902915,MRXS-A-DWB250-BU,Handle reference: MRX | Application: DWB250 3P/4P | Type: Rotary | Set type: Handle + Shaft + Mechanism | Handle size: Short Style | Shaft type: Standard | Shaft lenght: 450 mm | Degree of protection: NEMA TYPE 4X IP66 | Color: Blue
5902917,MRXS-A-DWB250-R,Handle reference: MRX | Application: DWB250 3P/4P | Type: Rotary | Set type: Handle + Shaft + Mechanism | Handle size: Short Style | Shaft type: Standard | Shaft lenght: 450 mm | Degree of protection: NEMA TYPE 4X IP66 | Color: Red/Yellow
5902626,MRXL-B-2-R,Handle reference: MRX | Application: DWB250 Pystol | Type: Rotary | Set type: Handle + Shaft | Handle size: Long Style | Shaft type: Square 10X10 mm | Shaft lenght: 450 mm | Color: Red/Yellow
5902623,MRXL-B-2-BU,Handle reference: MRX | Application: DWB250 Pystol | Type: Rotary | Set type: Handle + Shaft | Handle size: Long Style | Shaft type: Square 10X10 mm | Shaft lenght: 450 mm | Degree of protection: NEMA TYPE 4X IP66 | Color: Blue
5902912,MRXS-B-1-BU,Handle reference: MRX | Application: DWB250 Selector | Type: Rotary | Set type: Handle + Shaft | Handle size: Short Style | Shaft type: Square 10X10 mm | Shaft lenght: 450 mm | Degree of protection: NEMA TYPE 4X IP66 | Color: Blue
5902913,MRXS-B-1-R,Handle reference: MRX | Application: DWB250 Selector | Type: Rotary | Set type: Handle + Shaft | Handle size: Short Style | Shaft type: Square 10X10 mm | Shaft lenght: 450 mm | Degree of protection: NEMA TYPE 4X IP66 | Color: Red/Yellow
5902631,MRXL-A-DWB400-BU,Handle reference: MRX | Application: DWB400 3P/4P | Type: Rotary | Set type: Handle + Shaft + Mechanism | Handle size: Long Style | Shaft type: Standard | Shaft lenght: 450 mm | Degree of protection: NEMA TYPE 4X IP66 | Color: Blue
5902634,MRXL-A-DWB400-R,Handle reference: MRX | Application: DWB400 3P/4P | Type: Rotary | Set type: Handle + Shaft + Mechanism | Handle size: Long Style | Shaft type: Standard | Shaft lenght: 450 mm | Degree of protection: NEMA TYPE 4X IP66 | Color: Red/Yellow
5902624,MRXL-B-3-BU,Handle reference: MRX | Application: DWB400 Pystol | Type: Rotary | Set type: Handle + Shaft | Handle size: Long Style | Shaft type: Square 12.7X12.7 mm | Shaft lenght: 450 mm | Degree of protection: NEMA TYPE 4X IP66 | Color: Blue
5902627,MRXL-B-3-R,Handle reference: MRX | Application: DWB400 Pystol | Type: Rotary | Set type: Handle + Shaft | Handle size: Long Style | Shaft type: Square 12.7X12.7 mm | Shaft lenght: 450 mm | Degree of protection: NEMA TYPE 4X IP66 | Color: Red/Yellow
5902635,MRXL-A-DWB1000-BU,Handle reference: MRX | Application: DWB800 3P/4P-1000 3P/4P | Type: Rotary | Set type: Handle + Shaft + Mechanism | Handle size: Long Style | Shaft type: Standard | Shaft lenght: 450 mm | Degree of protection: NEMA TYPE 4X IP66 | Color: Blue
5902636,MRXL-A-DWB1000-R,Handle reference: MRX | Application: DWB800 3P/4P-1000 3P/4P | Type: Rotary | Set type: Handle + Shaft + Mechanism | Handle size: Long Style | Shaft type: Standard | Shaft lenght: 450 mm | Degree of protection: NEMA TYPE 4X IP66 | Color: Red/Yellow
5901650,MRXL-B-10-BU,Handle reference: MRX | Application: UBW1200 Long Pystol | Type: Rotary | Set type: Handle + Shaft | Handle size: Long Style | Shaft type: Square 8X8 mm | Shaft lenght: 450 mm | Degree of protection: NEMA TYPE 4X IP66 | Color: Blue
5901651,MRXL-B-10-R,Handle reference: MRX | Application: UBW1200 Long Pystol | Type: Rotary | Set type: Handle + Shaft | Handle size: Long Style | Shaft type: Square 8X8 mm | Shaft lenght: 450 mm | Degree of protection: NEMA TYPE 4X IP66 | Color: Red/Yellow
5901658,MRXL-B-8-BU,Handle reference: MRX | Application: UBW225 Long Pystol | Type: Rotary | Set type: Handle + Shaft | Handle size: Long Style | Shaft type: Square 8X8 mm | Shaft lenght: 450 mm | Degree of protection: NEMA TYPE 4X IP66 | Color: Blue
5901659,MRXL-B-8-R,Handle reference: MRX | Application: UBW225 Long Pystol | Type: Rotary | Set type: Handle + Shaft | Handle size: Long Style | Shaft type: Square 8X8 mm | Shaft lenght: 450 mm | Degree of protection: NEMA TYPE 4X IP66 | Color: Red/Yellow
5901660,MRXS-B-6-BU,Handle reference: MRX | Application: UBW225 Selector | Type: Rotary | Set type: Handle + Shaft | Handle size: Short Style | Shaft type: Square 8X8 mm | Shaft lenght: 450 mm | Degree of protection: NEMA TYPE 4X IP66 | Color: Blue
5901661,MRXS-B-6-R,Handle reference: MRX | Application: UBW225 Selector | Type: Rotary | Set type: Handle + Shaft | Handle size: Short Style | Shaft type: Square 8X8 mm | Shaft lenght: 450 mm | Degree of protection: NEMA TYPE 4X IP66 | Color: Red/Yellow
5901656,MRXL-B-7-BU,Handle reference: MRX | Application: UBW225 Short Pystol | Type: Rotary | Set type: Handle + Shaft | Handle size: Long Style | Shaft type: Square 8X8 mm | Shaft lenght: 450 mm | Degree of protection: NEMA TYPE 4X IP66 | Color: Blue
5901657,MRXL-B-7-R,Handle reference: MRX | Application: UBW225 Short Pystol | Type: Rotary | Set type: Handle + Shaft | Handle size: Long Style | Shaft type: Square 8X8 mm | Shaft lenght: 450 mm | Degree of protection: NEMA TYPE 4X IP66 | Color: Red/Yellow
5901652,MRXL-B-11-BU,Handle reference: MRX | Application: UBW250-400 | Type: Rotary | Set type: Handle + Shaft | Handle size: Long Style | Shaft type: Square 10X10 mm | Shaft lenght: 450 mm | Degree of protection: NEMA TYPE 4X IP66 | Color: Blue
5901653,MRXL-B-11-R,Handle reference: MRX | Application: UBW250-400 | Type: Rotary | Set type: Handle + Shaft | Handle size: Long Style | Shaft type: Square 10X10 mm | Shaft lenght: 450 mm | Degree of protection: NEMA TYPE 4X IP66 | Color: Red/Yellow
5901654,MRXL-B-12-BU,Handle reference: MRX | Application: UBW400-800 | Type: Rotary | Set type: Handle + Shaft | Handle size: Long Style | Shaft type: Square 8X8 mm | Shaft lenght: 450 mm | Degree of protection: NEMA TYPE 4X IP66 | Color: Blue
5901655,MRXL-B-12-R,Handle reference: MRX | Application: UBW400-800 | Type: Rotary | Set type: Handle + Shaft | Handle size: Long Style | Shaft type: Square 8X8 mm | Shaft lenght: 450 mm | Degree of protection: NEMA TYPE 4X IP66 | Color: Red/Yellow
1310869,IG22-BTW,Identifier type: Group identifier | Model of terminal identifier: WEG type-BTW | Identifier dimension: Large size IG2-2 | Identifier color: Transparent | Material of terminal identifier: Polyamide PA6.6 | Engraving description: Without engraving | Engraving direction: Without engraving | Engraving color: Without engraving
1310870,IG-BTW,Identifier type: Group identifier | Model of terminal identifier: WEG type-BTW | Identifier dimension: Single size IG | Identifier color: Grey (G) | Material of terminal identifier: Polyamide PA6.6 | Engraving description: Without engraving | Engraving direction: Without engraving | Engraving color: Without engraving
1310864,IDG10/5-BTW-0,Identifier type: Identification for group terminals IDG | Model of terminal identifier: WEG type-BTW | Identifier dimension: 10x5 mm | Identifier color: White | Material of terminal identifier: Polyamide PA6.6 | Engraving description: 0 | Engraving direction: Engraved in horizontal | Engraving color: Black
2523615,IDG10/5-BTWH-1,Identifier type: Identification for group terminals IDG | Model of terminal identifier: WEG type-BTW | Identifier dimension: 10x5 mm | Identifier color: White | Material of terminal identifier: Polyamide PA6.6 | Engraving description: 1 | Engraving direction: Engraved in horizontal | Engraving color: Black
2523616,IDG10/5-BTWH-10,Identifier type: Identification for group terminals IDG | Model of terminal identifier: WEG type-BTW | Identifier dimension: 10x5 mm | Identifier color: White | Material of terminal identifier: Polyamide PA6.6 | Engraving description: 10 | Engraving direction: Engraved in horizontal | Engraving color: Black
2523617,IDG10/5-BTWH-1-22,Identifier type: Identification for group terminals IDG | Model of terminal identifier: WEG type-BTW | Identifier dimension: 10x5 mm | Identifier color: White | Material of terminal identifier: Polyamide PA6.6 | Engraving description: 1-22 | Engraving direction: Engraved in horizontal | Engraving color: Black
2523618,IDG10/5-BTWH-1-44,Identifier type: Identification for group terminals IDG | Model of terminal identifier: WEG type-BTW | Identifier dimension: 10x5 mm | Identifier color: White | Material of terminal identifier: Polyamide PA6.6 | Engraving description: 1-44 | Engraving direction: Engraved in horizontal | Engraving color: Black
2523619,IDG10/5-BTWH-2,Identifier type: Identification for group terminals IDG | Model of terminal identifier: WEG type-BTW | Identifier dimension: 10x5 mm | Identifier color: White | Material of terminal identifier: Polyamide PA6.6 | Engraving description: 2 | Engraving direction: Engraved in horizontal | Engraving color: Black
2523620,IDG10/5-BTWH-23-44,Identifier type: Identification for group terminals IDG | Model of terminal identifier: WEG type-BTW | Identifier dimension: 10x5 mm | Identifier color: White | Material of terminal identifier: Polyamide PA6.6 | Engraving description: 23-44 | Engraving direction: Engraved in horizontal | Engraving color: Black
2523621,IDG10/5-BTWH-3,Identifier type: Identification for group terminals IDG | Model of terminal identifier: WEG type-BTW | Identifier dimension: 10x5 mm | Identifier color: White | Material of terminal identifier: Polyamide PA6.6 | Engraving description: 3 | Engraving direction: Engraved in horizontal | Engraving color: Black
2523622,IDG10/5-BTWH-4,Identifier type: Identification for group terminals IDG | Model of terminal identifier: WEG type-BTW | Identifier dimension: 10x5 mm | Identifier color: White | Material of terminal identifier: Polyamide PA6.6 | Engraving description: 4 | Engraving direction: Engraved in horizontal | Engraving color: Black
