file_name,catalog_number,attribute_name,attribute_value
1%20(194),110092,Clamp Port Size,7/16-20 UNF SAE-4
1%20(194),110092,Action Type,Double Acting
1%20(194),110092,Direction Of Rotation,Left
1%20(194),110092,Mounting Thread Size,5/16-18 UNC SHCS
1%20(195),110093,Clamp Body Style,Lower Flange
1%20(195),110093,Clamping Force (lbs),5000
1%20(195),110093,Clamp Port Size,7/16-20 UNF SAE-4
1%20(195),110093,Action Type,Double Acting
1%20(195),110093,Direction Of Rotation,Right
1%20(195),110093,Mounting Thread Size,5/16-18 UNC SHCS
1%20(196),110094,Clamp Body Style,Lower Flange
1%20(196),110094,Clamping Force (lbs),5000
1%20(196),110094,Clamp Port Size,7/16-20 UNF SAE-4
1%20(196),110094,Action Type,Double Acting
1%20(196),110094,Direction Of Rotation,Straight Pull
1%20(196),110094,Mounting Thread Size,5/16-18 UNC SHCS
1%20(197),110095,Clamp Body Style,Lower Flange
1%20(197),110095,Clamping Force (lbs),5000
1%20(197),110095,Clamp Port Size,7/16-20 UNF SAE-4
1%20(197),110095,Action Type,Single Acting
1%20(197),110095,Direction Of Rotation,Left
1%20(197),110095,Mounting Thread Size,5/16-18 UNC SHCS
1%20(198),110096,Clamp Body Style,Lower Flange
1%20(198),110096,Clamping Force (lbs),5000
1%20(198),110096,Clamp Port Size,7/16-20 UNF SAE-4
1%20(198),110096,Action Type,Single Acting
1%20(198),110096,Direction Of Rotation,Right
1%20(198),110096,Mounting Thread Size,5/16-18 UNC SHCS
1%20(199),110097,Clamp Body Style,Lower Flange
1%20(199),110097,Clamping Force (lbs),5000
1%20(199),110097,Clamp Port Size,7/16-20 UNF SAE-4
1%20(199),110097,Action Type,Single Acting
1%20(199),110097,Direction Of Rotation,Straight Pull
1%20(199),110097,Mounting Thread Size,5/16-18 UNC SHCS
1%20(2),100222,Product Specification,Capacity 5.0 cu in
1%20(2),100222,Type,Mounting Type Conventional
1%20(2),100222,Max Operating Pressure (psi),5000
1%20(2),100222,Body Diameter (in),2.5
1%20(20),110189,Product Specification,Manifold With Built in Check Valve
1%20(20),110189,Max Operating Pressure (psi),5000
1%20(200),110098,Clamp Body Style,Lower Flange
1%20(200),110098,Clamping Force (lbs),5000
1%20(200),110098,Clamp Port Size,7/16-20 UNF SAE-4
1%20(200),110098,Action Type,Double Acting
1%20(200),110098,Direction Of Rotation,Left
1%20(200),110098,Mounting Thread Size,5/16-18 UNC SHCS
1%20(201),110099,Clamp Body Style,Lower Flange
1%20(201),110099,Clamping Force (lbs),5000
1%20(201),110099,Clamp Port Size,7/16-20 UNF SAE-4
1%20(201),110099,Action Type,Double Acting
1%20(201),110099,Direction Of Rotation,Right
1%20(201),110099,Mounting Thread Size,5/16-18 UNC SHCS
1%20(202),110100,Clamp Body Style,Lower Flange
1%20(202),110100,Clamping Force (lbs),5000
1%20(202),110100,Clamp Port Size,7/16-20 UNF SAE-4
1%20(202),110100,Action Type,Double Acting
1%20(202),110100,Direction Of Rotation,Straight Pull
1%20(202),110100,Mounting Thread Size,5/16-18 UNC SHCS
1%20(203),110185,Max Clamp Force With Arm (lbs),1200
1%20(203),110185,Max Clamping Speed (sec),0.5
1%20(203),110185,Max Flow Rate (cu in/min),34
1%20(203),110185,Radius (in),0.5
1%20(203),110185,Max Operating Pressure (psi),5000
1%20(204),110186,Max Clamp Force With Arm (lbs),335
1%20(204),110186,Max Clamping Speed (sec),0.9
1%20(204),110186,Max Flow Rate (cu in/min),17
1%20(204),110186,Radius (in),0.5
1%20(204),110186,Max Operating Pressure (psi),2058
1%20(205),500150,Max Clamp Force With Arm (lbs),2400
1%20(205),500150,Max Clamping Speed (sec),0.5
1%20(205),500150,Max Flow Rate (cu in/min),100
1%20(205),500150,Radius (in),0.688
1%20(206),500151,Max Clamp Force With Arm (lbs),720
1%20(206),500151,Max Clamping Speed (sec),0.1
1%20(206),500151,Max Flow Rate (cu in/min),50
1%20(206),500151,Radius (in),0.688
1%20(207),110110,Clamp Body Style,Lower Flange - Side Port
1%20(207),110110,Clamping Force (lbs),750
1%20(207),110110,Clamp Port Size,7/16-20 UNF SAE-4
1%20(207),110110,Action Type,Single Acting
1%20(207),110110,Direction Of Rotation,Left
1%20(207),110110,Mounting Thread Size,1/4-20 UNC SHCS
1%20(208),110111,Clamp Body Style,Lower Flange - Side Port
1%20(208),110111,Clamping Force (lbs),750
1%20(208),110111,Clamp Port Size,7/16-20 UNF SAE-4
1%20(208),110111,Action Type,Single Acting
1%20(208),110111,Direction Of Rotation,Right
1%20(208),110111,Mounting Thread Size,1/4-20 UNC SHCS
1%20(209),110112,Clamp Body Style,Lower Flange - Side Port
1%20(209),110112,Clamping Force (lbs),750
1%20(209),110112,Clamp Port Size,7/16-20 UNF SAE-4
1%20(209),110112,Action Type,Single Acting
1%20(209),110112,Direction Of Rotation,Straight Pull
1%20(209),110112,Mounting Thread Size,1/4-20 UNC SHCS
1%20(21),100179-230,Input Voltage (vac),230
1%20(21),100179-230,Type,Palletized_System
1%20(21),100179-230,Power Dissipation (hp),0.5
1%20(21),100179-230,Max Operating Pressure (psi),5000
1%20(21),100179-230,Rated Speed (rpm),3450
1%20(210),110113,Clamp Body Style,Lower Flange - Side Port
1%20(210),110113,Clamping Force (lbs),750
1%20(210),110113,Clamp Port Size,7/16-20 UNF SAE-4
1%20(210),110113,Action Type,Double Acting
1%20(210),110113,Direction Of Rotation,Left
1%20(210),110113,Mounting Thread Size,1/4-20 UNC SHCS
1%20(211),110114,Clamp Body Style,Lower Flange - Side Port
1%20(211),110114,Clamping Force (lbs),750
1%20(211),110114,Clamp Port Size,7/16-20 UNF SAE-4
1%20(211),110114,Action Type,Double Acting
1%20(211),110114,Direction Of Rotation,Right
1%20(211),110114,Mounting Thread Size,1/4-20 UNC SHCS
1%20(212),110115,Clamp Body Style,Lower Flange - Side Port
1%20(212),110115,Clamping Force (lbs),750
1%20(212),110115,Clamp Port Size,7/16-20 UNF SAE-4
1%20(212),110115,Action Type,Double Acting
1%20(212),110115,Direction Of Rotation,Straight Pull
1%20(212),110115,Mounting Thread Size,1/4-20 UNC SHCS
1%20(213),110116,Clamp Body Style,Lower Flange - Side Port
1%20(213),110116,Clamping Force (lbs),2400
1%20(213),110116,Clamp Port Size,7/16-20 UNF SAE-4
1%20(213),110116,Action Type,Single Acting
1%20(213),110116,Direction Of Rotation,Left
1%20(213),110116,Mounting Thread Size,5/16-18 UNC SHCS
1%20(214),110117,Clamp Body Style,Lower Flange - Side Port
1%20(214),110117,Clamping Force (lbs),2400
1%20(214),110117,Clamp Port Size,7/16-20 UNF SAE-4
1%20(214),110117,Action Type,Single Acting
1%20(214),110117,Direction Of Rotation,Right
1%20(214),110117,Mounting Thread Size,5/16-18 UNC SHCS
1%20(215),110118,Clamp Body Style,Lower Flange - Side Port
1%20(215),110118,Clamping Force (lbs),2400
1%20(215),110118,Clamp Port Size,7/16-20 UNF SAE-4
1%20(215),110118,Action Type,Single Acting
1%20(215),110118,Direction Of Rotation,Straight Pull
1%20(215),110118,Mounting Thread Size,5/16-18 UNC SHCS
1%20(216),110119,Clamp Body Style,Lower Flange - Side Port
1%20(216),110119,Clamping Force (lbs),2400
1%20(216),110119,Clamp Port Size,7/16-20 UNF SAE-4
1%20(216),110119,Action Type,Double Acting
1%20(216),110119,Direction Of Rotation,Left
1%20(216),110119,Mounting Thread Size,5/16-18 UNC SHCS
1%20(217),110120,Clamp Body Style,Lower Flange - Side Port
1%20(217),110120,Clamping Force (lbs),2400
1%20(217),110120,Clamp Port Size,7/16-20 UNF SAE-4
1%20(217),110120,Action Type,Double Acting
1%20(217),110120,Direction Of Rotation,Right
1%20(217),110120,Mounting Thread Size,5/16-18 UNC SHCS
1%20(218),110121,Clamp Body Style,Lower Flange - Side Port
1%20(218),110121,Clamping Force (lbs),2400
1%20(218),110121,Clamp Port Size,7/16-20 UNF SAE-4
1%20(218),110121,Action Type,Double Acting
1%20(218),110121,Direction Of Rotation,Straight Pull
1%20(218),110121,Mounting Thread Size,5/16-18 UNC SHCS
1%20(219),110126,Clamp Body Style,Threaded
1%20(219),110126,Clamping Force (lbs),365
1%20(219),110126,Clamp Port Size,5/16-24 UNF SAE-2
1%20(219),110126,Action Type,Single Acting
1%20(219),110126,Direction Of Rotation,Left
1%20(219),110126,Mounting Thread Size,1-1/8 - 16UN
1%20(22),100212-230,Product Specification,"2 hp, 1,725 rpm, 115/230 vac, 27/14 amps max, 50/60 hz, Single Phase"
1%20(22),100212-230,Min Operating Pressure (psi),1000
1%20(22),100212-230,Max Operating Pressure (psi),5000
1%20(220),110127,Clamp Body Style,Threaded
1%20(220),110127,Clamping Force (lbs),365
1%20(220),110127,Clamp Port Size,5/16-24 UNF SAE-2
1%20(220),110127,Action Type,Single Acting
1%20(220),110127,Direction Of Rotation,Right
1%20(220),110127,Mounting Thread Size,1-1/8 - 16UN
1%20(221),110128,Clamp Body Style,Threaded
1%20(221),110128,Clamping Force (lbs),365
1%20(221),110128,Clamp Port Size,5/16-24 UNF SAE-2
1%20(221),110128,Action Type,Single Acting
1%20(221),110128,Direction Of Rotation,Straight Pull
1%20(221),110128,Mounting Thread Size,1-1/8 - 16UN
1%20(222),110129,Clamp Body Style,Threaded
1%20(222),110129,Clamping Force (lbs),365
1%20(222),110129,Clamp Port Size,5/16-24 UNF SAE-2
1%20(222),110129,Action Type,Double Acting
1%20(222),110129,Direction Of Rotation,Left
1%20(222),110129,Mounting Thread Size,1-1/8 - 16UN
1%20(223),110130,Clamp Body Style,Threaded
1%20(223),110130,Clamping Force (lbs),365
1%20(223),110130,Clamp Port Size,5/16-24 UNF SAE-2
1%20(223),110130,Action Type,Single Acting
1%20(223),110130,Direction Of Rotation,Right
1%20(223),110130,Mounting Thread Size,1-1/8 - 16UN
1%20(224),110131,Clamp Body Style,Threaded
1%20(224),110131,Clamping Force (lbs),365
1%20(224),110131,Clamp Port Size,5/16-24 UNF SAE-2
1%20(224),110131,Action Type,Single Acting
1%20(224),110131,Direction Of Rotation,Straight Pull
1%20(224),110131,Mounting Thread Size,1-1/8 - 16UN
1%20(225),110144,Clamp Body Style,Lower Flange - Bottom Port
1%20(225),110144,Clamping Force (lbs),365
1%20(225),110144,Clamp Port Size,5/16-24 UNF SAE-2
1%20(225),110144,Action Type,Single Acting
1%20(225),110144,Direction Of Rotation,Left
1%20(225),110144,Mounting Thread Size,10-24 UNC SHCS
1%20(226),110145,Clamp Body Style,Lower Flange - Bottom Port
1%20(226),110145,Clamping Force (lbs),365
1%20(226),110145,Clamp Port Size,5/16-24 UNF SAE-2
1%20(226),110145,Action Type,Single Acting
1%20(226),110145,Direction Of Rotation,Right
1%20(226),110145,Mounting Thread Size,10-24 UNC SHCS
1%20(227),110146,Clamp Body Style,Lower Flange - Bottom Port
1%20(227),110146,Clamping Force (lbs),365
1%20(227),110146,Clamp Port Size,5/16-24 UNF SAE-2
1%20(227),110146,Action Type,Single Acting
1%20(227),110146,Direction Of Rotation,Straight Pull
1%20(227),110146,Mounting Thread Size,10-24 UNC SHCS
1%20(228),110147,Clamp Body Style,Lower Flange - Bottom Port
1%20(228),110147,Clamping Force (lbs),365
1%20(228),110147,Clamp Port Size,5/16-24 UNF SAE-2
1%20(228),110147,Action Type,Double Acting
1%20(228),110147,Direction Of Rotation,Left
1%20(228),110147,Mounting Thread Size,10-24 UNC SHCS
1%20(229),110148,Clamp Body Style,Lower Flange - Bottom Port
1%20(229),110148,Clamping Force (lbs),365
1%20(229),110148,Clamp Port Size,5/16-24 UNF SAE-2
1%20(229),110148,Action Type,Double Acting
1%20(229),110148,Direction Of Rotation,Right
1%20(229),110148,Mounting Thread Size,10-24 UNC SHCS
1%20(23),100221-230,Product Specification,"2 hp, 1,725 rpm, 230/460 vac, 6.6/3.3 amps max, 50/60 hz, Three Phase"
1%20(23),100221-230,Min Operating Pressure (psi),1000
1%20(23),100221-230,Max Operating Pressure (psi),5000
1%20(230),110149,Clamp Body Style,Lower Flange - Bottom Port
1%20(230),110149,Clamping Force (lbs),365
1%20(230),110149,Clamp Port Size,5/16-24 UNF SAE-2
1%20(230),110149,Action Type,Double Acting
1%20(230),110149,Direction Of Rotation,Straight Pull
1%20(230),110149,Mounting Thread Size,10-24 UNC SHCS
1%20(231),110150,Clamp Body Style,Lower Flange - Side Port
1%20(231),110150,Clamping Force (lbs),365
1%20(231),110150,Clamp Port Size,7/16-20 UNF SAE-4
1%20(231),110150,Action Type,Single Acting
1%20(231),110150,Direction Of Rotation,Left
1%20(231),110150,Mounting Thread Size,10-24 UNC SHCS
1%20(232),110151,Clamp Body Style,Lower Flange - Side Port
1%20(232),110151,Clamping Force (lbs),365
1%20(232),110151,Clamp Port Size,7/16-20 UNF SAE-4
1%20(232),110151,Action Type,Single Acting
1%20(232),110151,Direction Of Rotation,Right
1%20(232),110151,Mounting Thread Size,10-24 UNC SHCS
1%20(233),110152,Clamp Body Style,Lower Flange - Side Port
1%20(233),110152,Clamping Force (lbs),365
1%20(233),110152,Clamp Port Size,7/16-20 UNF SAE-4
1%20(233),110152,Action Type,Single Acting
1%20(233),110152,Direction Of Rotation,Straight Pull
1%20(233),110152,Mounting Thread Size,10-24 UNC SHCS
1%20(234),110153,Clamp Body Style,Lower Flange - Side Port
1%20(234),110153,Clamping Force (lbs),365
1%20(234),110153,Clamp Port Size,7/16-20 UNF SAE-4
1%20(234),110153,Action Type,Double Acting
1%20(234),110153,Direction Of Rotation,Left
1%20(234),110153,Mounting Thread Size,10-24 UNC SHCS
1%20(235),110154,Clamp Body Style,Lower Flange - Side Port
1%20(235),110154,Clamping Force (lbs),365
1%20(235),110154,Clamp Port Size,7/16-20 UNF SAE-4
1%20(235),110154,Action Type,Double Acting
1%20(235),110154,Direction Of Rotation,Right
1%20(235),110154,Mounting Thread Size,10-24 UNC SHCS
1%20(236),110155,Clamp Body Style,Lower Flange - Side Port
1%20(236),110155,Clamping Force (lbs),365
1%20(236),110155,Clamp Port Size,7/16-20 UNF SAE-4
1%20(236),110155,Action Type,Double Acting
1%20(236),110155,Direction Of Rotation,Straight Pull
1%20(236),110155,Mounting Thread Size,10-24 UNC SHCS
1%20(237),110173,Clamp Body Style,Threaded
1%20(237),110173,Clamping Force (lbs),1200
1%20(237),110173,Clamp Port Size,7/16-20 UNF SAE-4
1%20(237),110173,Action Type,Single Acting
1%20(237),110173,Direction Of Rotation,Counter Clockwise
1%20(237),110173,Mounting Thread Size,1-1/2 - 16UNF
1%20(238),110174,Clamp Body Style,Threaded
1%20(238),110174,Clamping Force (lbs),1200
1%20(238),110174,Clamp Port Size,7/16-20 UNF SAE-4
1%20(238),110174,Action Type,Single Acting
1%20(238),110174,Direction Of Rotation,Clockwise
1%20(238),110174,Mounting Thread Size,1-1/2 - 16UNF
1%20(239),110175,Clamp Body Style,Threaded
1%20(239),110175,Clamping Force (lbs),1200
1%20(239),110175,Clamp Port Size,7/16-20 UNF SAE-4
1%20(239),110175,Action Type,Single Acting
1%20(239),110175,Direction Of Rotation,Straight Pull
1%20(239),110175,Mounting Thread Size,1-1/2 - 16UNF
1%20(24),100879-230,Input Voltage (vac),230
1%20(24),100879-230,Type,Palletized_System
1%20(24),100879-230,Power Dissipation (hp),1
1%20(24),100879-230,Max Operating Pressure (psi),5000
1%20(24),100879-230,Rated Speed (rpm),1725
1%20(240),110176,Clamp Body Style,Threaded
1%20(240),110176,Clamping Force (lbs),1200
1%20(240),110176,Clamp Port Size,7/16-20 UNF SAE-4
1%20(240),110176,Action Type,Double Acting
1%20(240),110176,Direction Of Rotation,Counter Clockwise
1%20(240),110176,Mounting Thread Size,1-1/2 - 16UNF
1%20(241),110177,Clamp Body Style,Threaded
1%20(241),110177,Clamping Force (lbs),1200
1%20(241),110177,Clamp Port Size,7/16-20 UNF SAE-4
1%20(241),110177,Action Type,Double Acting
1%20(241),110177,Direction Of Rotation,Clockwise
1%20(241),110177,Mounting Thread Size,1-1/2 - 16UNF
1%20(242),110178,Clamp Body Style,Threaded
1%20(242),110178,Clamping Force (lbs),1200
1%20(242),110178,Clamp Port Size,7/16-20 UNF SAE-4
1%20(242),110178,Action Type,Double Acting
1%20(242),110178,Direction Of Rotation,Straight Pull
1%20(242),110178,Mounting Thread Size,1-1/2 - 16UNF
1%20(243),110179,Clamp Body Style,Lower Flange - Bottom Port
1%20(243),110179,Clamping Force (lbs),1200
1%20(243),110179,Clamp Port Size,SAE O-Ring (0.13 Dia Port)
1%20(243),110179,Action Type,Single Acting
1%20(243),110179,Direction Of Rotation,Counter Clockwise
1%20(243),110179,Mounting Thread Size,1/4-20 UNC SHCS
1%20(244),110180,Clamp Body Style,Lower Flange - Bottom Port
1%20(244),110180,Clamping Force (lbs),1200
1%20(244),110180,Clamp Port Size,SAE O-Ring (0.13 Dia Port)
1%20(244),110180,Action Type,Single Acting
1%20(244),110180,Direction Of Rotation,Clockwise
1%20(244),110180,Mounting Thread Size,1/4-20 UNC SHCS
1%20(245),110181,Clamp Body Style,Lower Flange - Bottom Port
1%20(245),110181,Clamping Force (lbs),1200
1%20(245),110181,Clamp Port Size,SAE O-Ring (0.13 Dia Port)
1%20(245),110181,Action Type,Single Acting
1%20(245),110181,Direction Of Rotation,Straight Pull
1%20(245),110181,Mounting Thread Size,1/4-20 UNC SHCS
1%20(246),110182,Clamp Body Style,Lower Flange - Bottom Port
1%20(246),110182,Clamping Force (lbs),1200
1%20(246),110182,Clamp Port Size,SAE O-Ring (0.13 Dia Port)
1%20(246),110182,Action Type,Double Acting
1%20(246),110182,Direction Of Rotation,Counter Clockwise
1%20(246),110182,Mounting Thread Size,1/4-20 UNC SHCS
1%20(247),110183,Clamp Body Style,Lower Flange - Bottom Port
1%20(247),110183,Clamping Force (lbs),1200
1%20(247),110183,Clamp Port Size,SAE O-Ring (0.13 Dia Port)
1%20(247),110183,Action Type,Double Acting
1%20(247),110183,Direction Of Rotation,Clockwise
1%20(247),110183,Mounting Thread Size,1/4-20 UNC SHCS
1%20(248),110184,Clamp Body Style,Lower Flange - Bottom Port
1%20(248),110184,Clamping Force (lbs),1200
1%20(248),110184,Clamp Port Size,SAE O-Ring (0.13 Dia Port)
1%20(248),110184,Action Type,Double Acting
1%20(248),110184,Direction Of Rotation,Straight Pull
1%20(248),110184,Mounting Thread Size,1/4-20 UNC SHCS
1%20(249),500152,Max Clamp Force With Arm (lbs),4500
1%20(249),500152,Max Clamping Speed (sec),0.5
1%20(249),500152,Max Flow Rate (cu in/min),250
1%20(249),500152,Radius (in),0.93
1%20(25),100888-230,Input Voltage (vac),230
1%20(25),100888-230,Type,Palletized_System
1%20(25),100888-230,Power Dissipation (hp),1
1%20(25),100888-230,Max Operating Pressure (psi),5000
1%20(25),100888-230,Rated Speed (rpm),1725
1%20(250),500153,Max Clamp Force With Arm (lbs),1540
1%20(250),500153,Max Clamping Speed (sec),0.1
1%20(250),500153,Max Flow Rate (cu in/min),125
1%20(250),500153,Radius (in),0.93
1%20(251),110187,Outside Diameter (in),2.25
1%20(251),110187,Mounting Thread Size,1-1/2 - 16UNF
1%20(252),110188,Mounting Thread Size,1-1/2 - 16UNF
1%20(253),110191,Clamp Body Style,Manifold
1%20(253),110191,Clamping Force (lbs),1200
1%20(253),110191,Clamp Port Size,Manifold
1%20(253),110191,Action Type,Single Acting
1%20(253),110191,Direction Of Rotation,Left
1%20(254),110192,Clamp Body Style,Manifold
1%20(254),110192,Clamping Force (lbs),1200
1%20(254),110192,Clamp Port Size,Manifold
1%20(254),110192,Action Type,Single Acting
1%20(254),110192,Direction Of Rotation,Right
1%20(255),110193,Clamp Body Style,Manifold
1%20(255),110193,Clamping Force (lbs),1200
1%20(255),110193,Clamp Port Size,Manifold
1%20(255),110193,Action Type,Single Acting
1%20(255),110193,Direction Of Rotation,Straight Pull
1%20(256),110194,Clamp Body Style,Manifold
1%20(256),110194,Clamping Force (lbs),1200
1%20(256),110194,Clamp Port Size,Manifold
1%20(256),110194,Action Type,Double Acting
1%20(256),110194,Direction Of Rotation,Left
1%20(257),110195,Clamp Body Style,Manifold
1%20(257),110195,Clamping Force (lbs),1200
1%20(257),110195,Clamp Port Size,Manifold
1%20(257),110195,Action Type,Double Acting
1%20(257),110195,Direction Of Rotation,Right
1%20(258),110196,Clamp Body Style,Manifold
1%20(258),110196,Clamping Force (lbs),1200
1%20(258),110196,Clamp Port Size,Manifold
1%20(258),110196,Action Type,Double Acting
1%20(258),110196,Direction Of Rotation,Straight Pull
1%20(259),500154,Max Clamp Force With Arm (lbs),750
1%20(259),500154,Max Clamping Speed (sec),0.4
1%20(259),500154,Max Flow Rate (cu in/min),25
1%20(259),500154,Radius (in),0.435
1%20(26),100843,Type,Remote_Mounted_Control_Valve
1%20(26),100843,Actuation Type,Manual
1%20(26),100843,Max Operating Pressure (psi),5000
1%20(260),500155,Max Clamp Force With Arm (lbs),220
1%20(260),500155,Max Clamping Speed (sec),0.8
1%20(260),500155,Max Flow Rate (cu in/min),12
1%20(260),500155,Radius (in),0.435
1%20(261),500167,Max Clamp Force With Arm (lbs),340
1%20(261),500167,Max Clamping Speed (sec),0.3
1%20(261),500167,Max Flow Rate (cu in/min),15
1%20(261),500167,Radius (in),0.33
1%20(262),500168,Max Clamp Force With Arm (lbs),125
1%20(262),500168,Max Clamping Speed (sec),0.5
1%20(262),500168,Max Flow Rate (cu in/min),8
1%20(262),500168,Radius (in),0.33
1%20(263),110101,Max Flow Rate (cu in/min),45
1%20(263),110101,Max Swing Speed (sec),0.25
1%20(263),110101,Retract Port Size,7/16-20UNF SAE-4
1%20(263),110101,Clamping Force (lbs),1610
1%20(263),110101,Action Type,Double Acting
1%20(263),110101,Direction Of Rotation,Right
1%20(263),110101,Max Adjustment Range (in),1.5
1%20(264),110102,Max Flow Rate (cu in/min),45
1%20(264),110102,Max Swing Speed (sec),0.25
1%20(264),110102,Retract Port Size,7/16-20UNF SAE-4
1%20(264),110102,Clamping Force (lbs),1610
1%20(264),110102,Action Type,Double Acting
1%20(264),110102,Direction Of Rotation,Left
1%20(264),110102,Max Adjustment Range (in),1.5
1%20(265),110103,Max Flow Rate (cu in/min),15
1%20(265),110103,Max Swing Speed (sec),0.5
1%20(265),110103,Retract Port Size,7/16-20UNF SAE-4
1%20(265),110103,Clamping Force (lbs),3780
1%20(265),110103,Action Type,Double Acting
1%20(265),110103,Direction Of Rotation,Right
1%20(265),110103,Max Adjustment Range (in),2
1%20(266),110104,Max Flow Rate (cu in/min),15
1%20(266),110104,Max Swing Speed (sec),0.5
1%20(266),110104,Retract Port Size,7/16-20UNF SAE-4
1%20(266),110104,Clamping Force (lbs),3780
1%20(266),110104,Action Type,Double Acting
1%20(266),110104,Direction Of Rotation,Left
1%20(266),110104,Max Adjustment Range (in),2
1%20(267),110105,Max Flow Rate (cu in/min),10
1%20(267),110105,Max Swing Speed (sec),1
1%20(267),110105,Retract Port Size,7/16-20UNF SAE-4
1%20(267),110105,Clamping Force (lbs),8295
1%20(267),110105,Action Type,Double Acting
1%20(267),110105,Direction Of Rotation,Right
1%20(267),110105,Max Adjustment Range (in),2.375
1%20(268),110106,Max Flow Rate (cu in/min),10
1%20(268),110106,Max Swing Speed (sec),1
1%20(268),110106,Retract Port Size,7/16-20UNF SAE-4
1%20(268),110106,Clamping Force (lbs),8295
1%20(268),110106,Action Type,Double Acting
1%20(268),110106,Direction Of Rotation,Left
1%20(268),110106,Max Adjustment Range (in),2.375
1%20(269),110107,Max Flow Rate (cu in/min),15
1%20(269),110107,Min Adjustment Range (in),0.25
1%20(269),110107,Min Operating Pressure (psi),500
1%20(269),110107,Clamping Force (lbs),1610
1%20(269),110107,Action Type,Double Acting
1%20(269),110107,Max Adjustment Range (in),2.125
1%20(27),9608,Port Thread Size,1/4 NPTF
1%20(27),9608,Max Operating Pressure (psi),5000
1%20(270),110108,Max Flow Rate (cu in/min),15
1%20(270),110108,Min Adjustment Range (in),0.062
1%20(270),110108,Min Operating Pressure (psi),500
1%20(270),110108,Clamping Force (lbs),3780
1%20(270),110108,Action Type,Double Acting
1%20(270),110108,Max Adjustment Range (in),2.125
1%20(271),110109,Max Flow Rate (cu in/min),15
1%20(271),110109,Min Adjustment Range (in),0.438
1%20(271),110109,Min Operating Pressure (psi),500
1%20(271),110109,Clamping Force (lbs),8295
1%20(271),110109,Action Type,Double Acting
1%20(271),110109,Max Adjustment Range (in),2.938
1%20(272),10390,Type,Jam_Nut_TB
1%20(272),10390,Hex Width (in),0.75
1%20(273),10391,Type,Jam_Nut_TB
1%20(273),10391,Hex Width (in),0.75
1%20(274),10394,Type,Jam_Nut_TB
1%20(274),10394,Hex Width (in),0.938
1%20(275),10395,Type,Jam_Nut_TB
1%20(275),10395,Hex Width (in),0.938
1%20(276),10396,Type,Jam_Nut_TB
1%20(276),10396,Hex Width (in),1.125
1%20(277),10397,Type,Jam_Nut_TB
1%20(277),10397,Hex Width (in),1.125
1%20(278),100064,Clamping Force (lbs),245
1%20(278),100064,Action Type,Single Acting
1%20(278),100064,Max Operating Pressure (psi),5000
1%20(279),100065,Clamping Force (lbs),245
1%20(279),100065,Action Type,Single Acting
1%20(279),100065,Max Operating Pressure (psi),5000
1%20(28),9613,Max Operating Pressure (psi),5000
1%20(280),100139,Clamping Force (lbs),550
1%20(280),100139,Action Type,Single Acting
1%20(280),100139,Max Operating Pressure (psi),5000
1%20(281),100148,Clamping Force (lbs),550
1%20(281),100148,Action Type,Single Acting
1%20(281),100148,Max Operating Pressure (psi),5000
1%20(282),100149,Clamping Force (lbs),750
1%20(282),100149,Action Type,Single Acting
1%20(282),100149,Max Operating Pressure (psi),5000
1%20(283),100153,Clamping Force (lbs),750
1%20(283),100153,Action Type,Single Acting
1%20(283),100153,Max Operating Pressure (psi),5000
1%20(284),100156,Clamping Force (lbs),245
1%20(284),100156,Action Type,Single Acting
1%20(284),100156,Max Operating Pressure (psi),5000
1%20(285),100157,Clamping Force (lbs),245
1%20(285),100157,Action Type,Single Acting
1%20(285),100157,Max Operating Pressure (psi),5000
1%20(286),100159,Clamping Force (lbs),550
1%20(286),100159,Action Type,Single Acting
1%20(286),100159,Max Operating Pressure (psi),5000
1%20(287),100166,Clamping Force (lbs),550
1%20(287),100166,Action Type,Single Acting
1%20(287),100166,Max Operating Pressure (psi),5000
1%20(288),100167,Clamping Force (lbs),750
1%20(288),100167,Action Type,Single Acting
1%20(288),100167,Max Operating Pressure (psi),5000
1%20(289),100171,Clamping Force (lbs),750
1%20(289),100171,Action Type,Single Acting
1%20(289),100171,Max Operating Pressure (psi),5000
1%20(29),100128,Max Operating Pressure (psi),5000
1%20(290),100172,Clamping Force (lbs),1535
1%20(290),100172,Action Type,Single Acting
1%20(290),100172,Max Operating Pressure (psi),5000
1%20(291),100173,Clamping Force (lbs),1535
1%20(291),100173,Action Type,Single Acting
1%20(291),100173,Max Operating Pressure (psi),5000
1%20(292),110059,Holding Capacity (lbs),290
1%20(292),110059,Cylinder Body Height (in),1.115
1%20(292),110059,Max Operating Pressure (psi),5000
1%20(292),110059,Body Diameter (in),0.81
1%20(292),110059,Clamping Spread Length (in),0.565
1%20(293),100201,Product Specification,Vertical Block Mount
1%20(293),100201,Clamping Force (lbs),11180
1%20(293),100201,Cylinder Body Height (in),0.718
1%20(293),100201,Action Type,Single Acting
1%20(293),100201,Max Operating Pressure (psi),5000
1%20(293),100201,Outside Diameter (in),3.25
1%20(294),100202,Product Specification,Vertical Block Mount
1%20(294),100202,Clamping Force (lbs),22150
1%20(294),100202,Cylinder Body Height (in),0.968
1%20(294),100202,Action Type,Single Acting
1%20(294),100202,Max Operating Pressure (psi),5000
1%20(294),100202,Outside Diameter (in),4
1%20(295),100203,Product Specification,Vertical Block Mount
1%20(295),100203,Clamping Force (lbs),4920
